Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,vol,log_returns,volatility_increments,log_volumes,hurst,hurstp,hurstm
2011/1/18,11783.82,11858.78,11777.99,11837.93,11805.23371,11855.54097,11918.00407,11988.13025,12064.45176,12146.05701,12232.31264,12322.74785,12416.9962,12514.76277,12615.8041,12719.91514,12826.92033,12936.66739,13049.02267,13163.86778,13281.09697,13400.6151,13522.336,13646.18123,13772.079,11762.44513,11712.53291,11651.1467,11582.99175,11509.71602,11432.38614,11351.77115,11268.46183,11182.93117,11095.569,11006.70339,10916.6148,10825.54582,10733.70827,10641.28842,10548.45097,10455.34221,10362.09254,10268.81848,10175.62433,10082.60363,203.39,0.004279315,0.104219911,0.012965344,0.219480167,-0.650760603,0.935595012
2011/1/19,11834.21,11861.24,11798.46,11825.29,11855.71528,11906.23766,11968.96787,12039.39392,12116.0418,12197.99601,12284.62049,12375.44242,12470.09379,12568.27842,12669.75183,12774.30807,12881.77084,12991.9872,13104.82293,13220.15914,13337.88963,13457.91884,13580.16025,13704.53507,13830.9712,11812.74373,11762.61808,11700.96936,11632.52297,11558.9339,11481.27334,11400.31363,11316.64805,11230.75165,11143.0159,11053.77029,10963.29645,10871.83805,10779.60778,10686.79272,10593.55828,10500.05137,10406.40295,10312.73002,10219.13736,10125.71889,166.25,-0.001068325,-0.033916604,-0.201632639,0.230889247,-0.538906193,0.40882573
2011/1/20,11823.7,11845.16,11744.77,11822.8,11845.18618,11895.66369,11958.33819,12028.70169,12105.28151,12187.16293,12273.71048,12364.45175,12459.01905,12557.1165,12658.49978,12762.96316,12870.3305,12980.44897,13093.18449,13208.41828,13326.04421,13445.96682,13568.09966,13692.36403,13818.68787,11802.25279,11752.17166,11690.5777,11622.19209,11548.66837,11471.07678,11390.18897,11306.5977,11220.77758,11133.11975,11043.9534,10953.55991,10862.18273,10770.03438,10677.30175,10584.15011,10490.72624,10397.16099,10303.57126,10210.06171,10116.7262,180.8,-0.000210588,-0.178047261,0.083898768,0.283857564,0.263020799,0.011504709
2011/1/21,11822.95,11905.48,11822.8,11871.84,11844.43482,11894.90913,11957.57965,12027.93869,12104.51365,12186.38987,12272.93193,12363.66744,12458.22876,12556.31997,12657.69683,12762.15358,12869.51411,12979.6256,13092.35397,13207.58044,13325.19891,13445.11392,13567.23901,13691.49549,13817.81133,11801.50415,11751.42619,11689.83614,11621.45487,11547.93582,11470.34915,11389.46647,11305.8805,11220.06583,11132.41356,11043.25286,10952.86511,10861.49372,10769.35122,10676.62447,10583.47873,10490.0608,10396.50148,10302.91768,10209.41407,10116.08448,249.48,0.004139339,-0.161123976,0.321987304,0.287137435,0.032715255,0.39019914
2011/1/24,11873.43,11982.94,11867.98,11980.52,11895.00655,11945.69637,12008.63447,12079.29392,12156.19583,12238.42164,12325.3332,12416.45612,12511.42118,12609.93122,12711.74092,12816.64367,12924.46258,13035.04421,13148.25389,13263.97234,13382.09301,13502.52001,13625.16654,13749.95355,13876.80871,11851.89259,11801.60081,11739.74779,11671.07456,11597.2416,11519.32366,11438.09564,11354.15279,11267.97171,11179.9452,11090.40382,10999.63014,10907.86863,10815.33271,10722.21004,10628.66661,10534.84981,10440.89103,10346.90766,10253.00481,10159.27674,184,0.009112788,0.29399251,-0.304442994,0.446002712,0.685229219,0.251940208
2011/1/25,11980.52,11985.97,11898.74,11977.19,12002.29116,12053.43816,12116.94392,12188.24067,12265.83618,12348.80361,12436.49905,12528.44384,12624.26541,12723.66394,12826.39189,12932.24079,13041.03216,13152.61115,13266.84191,13383.60406,13502.79009,13624.30326,13748.05597,13873.96848,14001.96778,11958.78834,11908.04296,11845.63207,11776.33945,11701.84058,11623.21987,11541.25923,11456.55928,11369.60091,11280.78045,11190.43147,11098.83908,11006.24994,10912.87941,10818.91685,10724.52972,10629.86676,10535.06053,10440.2295,10345.47972,10250.90628,191.96,-0.00027799,-0.162658871,0.042351259,0.460900084,0.290802856,0.62149001
2011/1/26,11978.85,12020.52,11961.83,11985.44,12000.61812,12051.758,12115.2549,12186.54172,12264.12641,12347.08227,12434.76549,12526.69746,12622.50568,12721.89035,12824.60398,12930.43813,13039.21433,13150.77777,13264.99261,13381.73848,13500.90789,13622.40412,13746.13959,13872.03454,14000.016,11957.12136,11906.38306,11843.98087,11774.69791,11700.20942,11621.59968,11539.65046,11454.96231,11368.01606,11279.20799,11188.8716,11097.29198,11004.71575,10911.35823,10817.40877,10723.03479,10628.38503,10533.59202,10438.7742,10344.03763,10249.47738,168.32,0.000688572,-0.05012244,-0.131420087,0.379950955,0.623122099,0.174998178
2011/1/27,11985.36,12019.53,11971.93,11989.83,12007.13995,12058.30762,12121.83903,12193.16459,12270.79144,12353.79239,12441.52326,12533.50519,12629.36548,12728.80416,12831.57362,12937.46528,13046.30059,13157.92467,13272.20157,13389.01089,13508.24507,13629.80733,13753.61004,13879.57341,14007.62442,11963.61956,11912.85368,11850.41758,11781.09697,11706.56799,11627.91553,11545.92177,11461.1876,11374.1941,11285.33777,11194.95228,11103.32289,11010.69635,10917.2881,10823.28757,10728.86231,10634.16111,10539.31658,10444.44724,10349.65918,10255.04754,167.77,0.000366211,0.000327106,-0.003272936,0.367123126,0.39542325,0.644167001
2011/1/28,11990.36,12012.42,11803.04,11823.7,12012.14904,12063.33805,12126.89597,12198.25128,12275.91052,12358.94609,12446.71356,12538.73387,12634.63414,12734.11431,12836.92664,12942.86247,13051.74319,13163.41383,13277.73841,13394.59646,13513.88038,13635.49335,13759.34771,13885.36363,14013.46806,11968.61049,11917.82343,11855.36128,11786.01175,11711.45169,11632.76641,11550.73845,11465.96893,11378.93914,11290.04573,11199.62254,11107.95493,11015.28974,10921.84252,10827.80279,10733.33813,10638.59742,10543.71333,10448.8044,10353.9768,10259.32569,214.17,-0.013952799,0.048540276,0.244176098,0.25425959,0.161864731,0.321241097
2011/1/31,11824.39,11891.93,11817.88,11891.93,11845.87743,11896.35789,11959.03604,12029.40366,12105.98794,12187.87414,12274.42674,12365.1733,12459.74613,12557.8493,12659.2385,12763.70798,12871.08158,12981.20648,13093.94858,13209.18908,13326.82188,13446.75149,13568.89146,13693.16308,13819.49429,11802.94154,11752.85748,11691.25993,11622.87033,11549.34232,11471.7462,11390.85367,11307.25753,11221.4324,11133.76945,11044.59789,10954.19913,10862.81662,10770.66289,10677.92485,10584.76777,10491.33845,10397.76774,10304.17255,10210.65754,10117.31659,206.58,0.005754027,0.328550488,-0.036082346,0.248047039,0.467884145,-0.332001278
