Date,log_returns,QHL,QHLp,QHLm
2013/2/1,0.011147031,0.200615141,0.416050406,0.027981908
2013/2/4,-0.015944337,0.110115839,0.202401389,-0.036656554
2013/2/5,0.005733638,0.224215853,0.367210303,0.190224102
2013/2/6,0.002000303,0.154400691,0.420535681,0.124382111
2013/2/7,-0.010686988,0.412944171,0.961498921,0.104331947
2013/2/8,0.005685095,0.392371355,0.759473905,0.338947469
2013/2/11,0.002093934,0.340423001,0.424680829,0.436938246
2013/2/12,0.009721497,0.306092204,0.127681432,0.471356743
2013/2/13,0.003265215,0.176931512,-0.090983016,0.400537172
2013/2/14,-0.005005343,0.341209629,0.014799904,0.629127156
2013/2/15,0.000142229,0.365500928,0.143816708,0.581935504
2013/2/18,-0.001592542,0.4161701,0.1903445,0.577366835
2013/2/19,0.009589544,0.317676956,0.164559578,0.409984704
2013/2/20,0.002551972,0.365722835,-0.255550052,1.188156342
2013/2/21,-0.016368417,0.197571709,-0.024770616,0.535104921
2013/2/22,0.006994431,0.21493987,-0.033520486,0.480964578
2013/2/25,0.00309982,0.20995856,0.048931443,0.487251714
2013/2/26,-0.013453597,0.146370642,-0.088135778,0.402344522
2013/2/27,0.008802628,0.209124824,0.373772986,-0.095971553
2013/2/28,0.005506572,0.23329102,0.178496259,0.267916888
2013/3/1,0.00279291,0.332552933,0.590201853,-0.151830824
2013/3/4,-0.005182251,0.346804725,0.128372972,0.642660619
2013/3/5,0.013511371,0.299237757,0.120449771,0.576106991
2013/3/6,-0.000670317,0.239669463,0.135386747,0.384464825
2013/3/7,0.001790655,0.34603616,0.415207415,0.238802236
2013/3/8,0.00687473,0.237592873,0.515843299,-0.066415711
2013/3/11,0.003087656,0.229254928,0.363280734,0.107950273
2013/3/12,0.001074207,0.250220667,0.210829871,0.247107483
2013/3/13,-0.004482725,0.215515921,0.415199771,0.035227258
2013/3/14,0.007364622,0.453969237,0.475124706,0.481058867
2013/3/15,-0.006107987,0.341071416,0.223387489,0.636729693
2013/3/18,-0.004901316,0.30816031,-0.17154432,0.619849556
2013/3/19,-0.002573796,0.271374393,-0.018632215,0.644320846
2013/3/20,-0.001339131,0.410630001,0.203443511,0.679571508
2013/3/21,-0.006887031,0.259260722,0.218784531,0.534384023
2013/3/22,0.000658774,0.208066763,-0.012001114,0.488835284
2013/3/25,-0.002251953,0.248134497,0.252949465,0.188259431
2013/3/26,0.003285401,0.218505179,-0.388398232,0.923972034
2013/3/27,-0.001847199,0.161793887,0.08679927,0.296917207
2013/3/28,0.003778336,0.083063907,-0.086638357,0.259410143
2013/4/2,0.012233536,0.253024335,0.176678599,0.26961035
2013/4/3,-0.01090249,0.169108901,0.193789658,0.078801945
2013/4/4,-0.011933331,0.346677802,0.369138022,0.390470888
2013/4/5,-0.014982137,0.357872684,0.194426493,0.565232556
2013/4/8,0.004336337,0.547007825,0.619154543,0.263455028
2013/4/9,0.005761663,0.524861972,0.511297432,0.543135679
2013/4/10,0.01167834,0.305898539,0.319270204,0.234656605
2013/4/11,0.004494088,0.299972751,-0.018949893,0.532627819
2013/4/12,-0.004960742,0.185234062,0.027739627,0.279810398
2013/4/15,-0.006409518,0.182984343,0.24130134,0.13906963
2013/4/16,-0.006170077,0.208861368,0.015733539,0.257664391
2013/4/17,-0.009621719,0.172671231,0.064073471,0.106179623
2013/4/18,-8.65E-05,0.216001326,0.201985111,0.254244527
2013/4/19,0.006850643,0.418551249,0.160374634,0.838650169
2013/4/22,-0.000950092,0.272030346,0.000568364,0.698794628
2013/4/23,0.019785082,0.19163057,-0.006351585,0.560086259
2013/4/24,0.003994434,0.151441565,-0.166796208,0.486594001
2013/4/25,0.001682415,0.248792257,-0.118302821,0.791125028
2013/4/26,-0.002513015,0.27507457,0.427510284,0.318443383
2013/4/29,0.004905151,0.271968307,0.061080391,0.584320355
2013/4/30,-0.004329569,0.311305666,0.404246763,0.027263617
2013/5/1,0.00328691,0.339700769,0.107444533,0.568273147
2013/5/2,0.001459108,0.304947262,0.306197394,0.343603232
2013/5/3,0.009359058,0.256360874,0.054091454,0.644593623
2013/5/7,0.005480656,0.393552752,0.432902933,0.329934663
2013/5/8,0.003984548,0.331217063,0.521847529,0.050706876
2013/5/9,0.001405563,0.328870823,0.438347417,0.055774921
2013/5/10,0.004878309,0.330656535,0.209259141,0.093365406
2013/5/13,0.001022876,0.317702799,0.284745281,0.174814083
2013/5/14,0.008154533,0.357725306,0.381271294,0.141954021
2013/5/15,0.001119614,0.250649252,-0.071067614,0.421170016
2013/5/16,-0.000859405,0.236800949,-0.195532169,0.25942952
2013/5/17,0.005258437,0.079867384,-0.33712644,0.428475285
2013/5/20,0.004832823,0.154840976,-0.214269486,0.513570499
2013/5/21,0.007115337,0.108810683,0.064604138,0.22522884
2013/5/22,0.005335637,0.179310925,0.112625687,0.353913609
2013/5/23,-0.021198897,0.162925145,0.246061887,0.148047637
2013/5/24,-0.006359034,0.191438966,-0.312251457,0.920442264
2013/5/28,0.01605091,0.277427824,0.215156666,0.48844966
2013/5/29,-0.020142318,0.240193292,-0.005709159,0.60797876
2013/5/30,0.004489565,0.300455531,0.123005615,0.548215897
2013/5/31,-0.01116319,0.335741466,0.192045001,0.529600135
2013/6/3,-0.008844896,0.509182485,0.648121574,0.413897952
2013/6/4,0.005114772,0.393754046,0.399412929,0.443888106
2013/6/5,-0.021463481,0.48241956,0.773468145,0.199565869
2013/6/6,-0.01304562,0.463163826,0.468893403,0.51401216
2013/6/7,0.01190466,0.383167712,0.407499899,0.370701249
2013/6/10,-0.001801375,0.278369417,0.030580375,0.366183133
2013/6/11,-0.009476914,0.140289953,0.014715853,0.223652002
2013/6/12,-0.006429059,0.192710998,0.217004032,0.081174096
