Date,log_returns,hurst,hurstp,hurstm
2013/2/1,0.007346869,0.191945335,0.136234504,0.429866202
2013/2/4,-0.025229466,0.229364181,0.335886503,0.124751187
2013/2/5,0.003454253,0.269663218,0.26369431,0.140321563
2013/2/6,-0.010951294,0.288134012,0.457916065,0.046804861
2013/2/7,0.001274714,0.357804498,0.889423585,-0.095136133
2013/2/8,0.008041773,0.426803904,0.710442313,0.004015673
2013/2/11,-0.002407452,0.401931749,0.419005004,0.305571105
2013/2/12,0.003458892,0.267482307,0.132565748,0.278889916
2013/2/13,0.006726506,0.252836724,0.25453785,0.209810001
2013/2/14,-0.010519497,0.229636661,0.058910915,0.334439909
2013/2/15,-0.004949861,0.198097716,-0.064240086,0.547613629
2013/2/18,0.004627448,0.063608681,-0.301638181,0.461406334
2013/2/19,0.016087539,0.030650926,-0.502666366,0.404153547
2013/2/20,-0.003042373,0.119211366,-0.167724018,0.19465365
2013/2/21,-0.018982485,0.237767307,0.137900971,0.448717344
2013/2/22,0.010277235,0.269824705,0.166634316,0.535576368
2013/2/25,0.014419334,0.179158185,-0.246656671,0.818485453
2013/2/26,-0.022912722,0.302813726,0.167023147,0.687062145
2013/2/27,0.010308519,0.25421113,0.342669757,0.261832919
2013/2/28,0.008544871,0.236366422,-0.129949714,0.616229839
2013/3/1,-0.004341794,0.220242238,0.296158011,0.126435788
2013/3/4,-0.002140283,0.313971122,0.569362731,-0.508094444
2013/3/5,0.022958227,0.326470746,0.210027219,0.356405956
2013/3/6,0.006209155,0.327079065,0.311427652,0.159798917
2013/3/7,0.002577701,0.322593243,0.644941795,-0.347478554
2013/3/8,0.005864552,0.370362764,0.72988683,-0.072183117
2013/3/11,-0.000272999,0.408837121,0.581877976,0.107918933
2013/3/12,-0.002278312,0.258712252,0.329822189,0.168504912
2013/3/13,0.000601116,0.282175256,0.557313966,-0.093876403
2013/3/14,0.010912638,0.278252168,0.413356212,-0.031606351
2013/3/15,-0.001927805,0.304948976,-0.347957768,1.002316933
2013/3/18,-0.00400535,0.300908913,0.114068251,0.423835576
2013/3/19,-0.007884245,0.205144279,-0.187126854,0.409380018
2013/3/20,0.006793859,0.202223237,-0.091099765,0.602609716
2013/3/21,-0.008718256,0.187221736,-0.111405915,0.653799177
2013/3/22,-0.002671068,0.126234143,0.038119595,0.214555128
2013/3/25,-0.005126023,0.105687685,-0.06575397,0.441926914
2013/3/26,0.001113611,0.162549524,-0.102682739,0.578747762
2013/3/27,-0.011561988,0.22934885,0.171493322,0.401673368
2013/3/28,0.000798234,0.276729068,0.036578193,0.572259626
2013/4/2,0.018878291,0.239448824,0.098272152,0.736701388
2013/4/3,-0.008739124,0.254158905,0.242444004,0.364591769
2013/4/4,-0.007310699,0.272384676,0.155371988,0.427507606
2013/4/5,-0.020501954,0.296324503,0.230338984,0.40251549
2013/4/8,0.000507787,0.376266265,0.758424974,-0.573276412
2013/4/9,-0.003284938,0.411677918,0.732618929,-0.434434929
2013/4/10,0.022413993,0.423846498,0.589364639,0.101642329
2013/4/11,0.00777953,0.36224558,0.547668908,-0.46103547
2013/4/12,-0.01624738,0.307722752,0.337328778,-0.065927678
2013/4/15,-0.004158532,0.255895822,0.271391209,0.116196982
2013/4/16,-0.003903817,0.257516907,-0.057099467,0.67365801
2013/4/17,-0.023648489,0.211251762,0.0139662,0.453268062
2013/4/18,-0.003912734,0.220979658,0.121508889,0.081321126
2013/4/19,-0.001844153,0.234299376,-0.047440752,0.29534357
2013/4/22,0.002430034,0.289238819,-0.044694446,0.809459469
2013/4/23,0.023798189,0.369782797,0.276337212,0.448885634
2013/4/24,0.013079051,0.266968634,0.134590554,0.582930781
2013/4/25,0.009470379,0.236556474,0.119140631,0.685743349
2013/4/26,-0.002313452,0.255350016,0.063126009,0.729794136
2013/4/29,0.007488437,0.285921705,0.320439504,0.339059585
2013/4/30,0.005094008,0.22110671,0.118264772,0.527223294
2013/5/2,0.006047103,0.178372906,0.122811715,0.31203479
2013/5/3,0.019968333,0.177888863,0.287646916,0.181370671
2013/5/6,-0.001257825,0.36861524,0.508119666,0.345366874
2013/5/7,0.008555422,0.398458783,0.343359647,0.502701613
2013/5/8,0.008268317,0.359317124,0.268938855,0.476706872
2013/5/9,0.001555208,0.238903012,0.334995516,0.171270706
2013/5/10,0.001939407,0.151628676,0.206399251,-0.042370737
2013/5/13,8.46E-05,0.333960988,0.49706285,-0.293576307
2013/5/14,0.00719928,0.388031234,0.659594095,-0.471743244
