,Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,vol
0,2012/1/2,5900.18,6075.52,5900.18,6075.52,5914.244518,5947.166755,5987.914205,6033.615518,6083.326473,6136.459271,6192.605008,6251.459457,6312.785686,6376.392927,6442.123636,6509.84508,6579.443603,6650.820579,6723.889452,6798.573532,6874.804304,6952.520115,7031.665138,7112.188528,7194.043756,5886.148928,5853.564473,5813.731266,5769.695455,5722.54739,5672.998466,5621.563783,5568.639495,5514.542353,5459.53244,5403.827371,5347.611749,5291.043762,5234.259986,5177.378998,5120.504157,5063.725816,5007.123094,4950.765338,4894.713335,4839.020336,90.83
1,2012/1/3,6124.11,6179.03,6108.62,6166.57,6138.70831,6172.880047,6215.173989,6262.609807,6314.207446,6369.356797,6427.633437,6488.721594,6552.375342,6618.396674,6686.622066,6756.913747,6829.153749,6903.239701,6979.081762,7056.600333,7135.724297,7216.389663,7298.538483,7382.117984,7467.079869,6109.546406,6075.72527,6034.38027,5988.673165,5939.735685,5888.306227,5834.919439,5779.986512,5723.836217,5666.738508,5608.91926,5550.570082,5491.855166,5432.916271,5373.876474,5314.843058,5255.909804,5197.158834,5138.662128,5080.482779,5022.676059,116.71
2,2012/1/4,6141.26,6163.48,6088.06,6111.55,6155.899191,6190.166623,6232.579005,6280.147662,6331.889796,6387.193588,6445.633426,6506.892655,6570.724659,6636.930878,6705.347329,6775.835855,6848.278158,6922.571581,6998.626031,7076.361685,7155.707229,7236.598491,7318.97736,7402.790918,7487.990732,6126.655622,6092.739773,6051.27899,6005.443887,5956.369362,5904.795881,5851.259588,5796.172826,5739.865288,5682.607682,5624.626517,5566.113937,5507.234595,5448.130647,5388.925515,5329.726781,5270.62849,5211.712994,5153.052473,5094.710198,5036.741596,100.87
3,2012/1/5,6121.34,6130.1,6040.94,6095.99,6135.931707,6170.087988,6212.362799,6259.777162,6311.351463,6366.47587,6424.72615,6485.786676,6549.411633,6615.403103,6683.597636,6753.857523,6826.06485,6900.117292,6975.92505,7053.408558,7132.496733,7213.125614,7295.237276,7378.778974,7463.70243,6106.782993,6072.977155,6031.650856,5985.964425,5937.04908,5885.642884,5832.280243,5777.372163,5721.247265,5664.175382,5606.382287,5548.059501,5489.371141,5430.458905,5371.445812,5312.439098,5253.5325,5194.808104,5136.337857,5078.184823,5020.404249,141.74
4,2012/1/6,6114.64,6152.56,6012.64,6057.92,6129.215736,6163.334632,6205.563172,6252.925638,6304.44349,6359.507561,6417.694085,6478.687778,6542.243095,6608.162335,6676.282227,6746.465213,6818.593506,6892.564896,6968.289679,7045.688379,7124.68999,7205.23062,7287.252409,7370.702667,7455.533172,6100.098926,6066.330089,6025.049023,5979.412597,5930.550792,5879.200862,5825.896628,5771.048646,5714.985179,5657.975763,5600.245924,5541.986974,5483.362851,5424.515096,5365.566595,5306.624466,5247.782343,5189.122223,5130.715973,5072.626589,5014.909258,109.97
5,2012/1/9,6061.26,6076.59,5987.75,6017.23,6075.708492,6109.529534,6151.389425,6198.338423,6249.40653,6303.989899,6361.668462,6422.129689,6485.130177,6550.47395,6617.999164,6687.569462,6759.068085,6832.393714,6907.45743,6984.18045,7062.492387,7142.329908,7223.635657,7306.357406,7390.447351,6046.845868,6013.371829,5972.451141,5927.213115,5878.777866,5827.876214,5775.03732,5720.668153,5665.094113,5608.582381,5551.356517,5493.606159,5435.493817,5377.159796,5318.725907,5260.298335,5201.969896,5143.821871,5085.9255,5028.343229,4971.129763,110.95
6,2012/1/10,6090.87,6191.29,6069.36,6162.98,6105.389074,6139.375337,6181.439718,6228.618067,6279.935649,6334.785665,6392.745995,6453.502581,6516.810835,6582.473821,6650.328904,6720.239061,6792.086963,6865.770797,6941.201209,7018.29903,7096.993531,7177.221067,7258.924005,7342.04986,7426.550595,6076.385453,6042.747889,6001.627299,5956.168279,5907.496419,5856.346106,5803.249087,5748.61432,5692.768794,5635.980996,5578.475575,5520.443101,5462.046873,5403.427882,5344.708537,5285.995538,5227.382158,5168.950073,5110.770871,5052.907303,4995.414342,171.41
7,2012/1/11,6148.45,6181.61,6106.03,6152.34,6163.10633,6197.413882,6239.875918,6287.500268,6339.30298,6394.67152,6453.179777,6514.510726,6578.417464,6644.701194,6713.197745,6783.768797,6856.295914,6930.676317,7006.819809,7084.646474,7164.084913,7245.07088,7327.546196,7411.45788,7496.757443,6133.828523,6099.872967,6058.363643,6012.474877,5963.342898,5911.709036,5858.110065,5802.958809,5746.585347,5689.260705,5631.211658,5572.630574,5513.682297,5454.509153,5395.234704,5335.966663,5276.799181,5217.814709,5159.08551,5100.67493,5042.638459,166.8
8,2012/1/12,6160.09,6256.95,6148.85,6179.21,6174.774077,6209.146578,6251.689002,6299.403512,6351.304295,6406.777656,6465.39668,6526.843738,6590.871461,6657.280677,6725.906903,6796.611557,6869.275979,6943.797196,7020.084841,7098.058844,7177.647672,7258.786959,7341.418414,7425.488956,7510.950005,6145.440843,6111.421003,6069.833095,6023.857455,5974.63246,5922.900847,5869.200405,5813.944738,5757.464553,5700.031387,5641.872443,5583.180455,5524.12058,5464.835411,5405.448747,5346.068502,5286.789007,5227.692867,5168.852485,5110.331324,5052.184981,205.75
9,2012/1/13,6242.49,6245.38,6063.66,6143.08,6257.370498,6292.20278,6335.31427,6383.66703,6436.262059,6492.477456,6551.880593,6614.149593,6679.033778,6746.331312,6815.875512,6887.525942,6961.162354,7036.680399,7113.9885,7193.005516,7273.658959,7355.883599,7439.620368,7524.815474,7611.419686,6227.644889,6193.169986,6151.02578,6104.43515,6054.551701,6002.128103,5947.709341,5891.714551,5834.478863,5776.277446,5717.340543,5657.863466,5598.013581,5537.935389,5477.754343,5417.579802,5357.507359,5297.620724,5237.993267,5178.689302,5119.76517,213.91
