,Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21
0,2010/1/4,21860.04,22024.83,21689.22,21823.28,21912.459460697708,22035.6863960859,22188.773112715062,22360.669906120187,22547.77102782386,22747.837818751377,22959.315318501904,23181.047783355767,23412.13575277422,23651.855407538704,23899.609241175243,24154.894015279693,24417.2789478871,24686.390301681662,24961.90015537079,25243.518010636486,25530.984380799833,25824.06580096366,26122.550880922936,26426.247138146584,26734.978424449688,21807.7459382729,21685.793680857627,21536.17716374621,21370.618626716896,21193.285500900336,21006.89096735567,20813.397184214486,20614.311883896353,20410.83965374564,20203.968803618183,19994.52559995502,19783.210329936395,19570.62250144588,19357.27917131115,19143.628723263828,18930.061515207613,18716.918301080786,18504.497025552344,18293.058399230755,18082.830539785646,17874.012883608164
1,2010/1/5,22092.15,22297.04,21987.27,22279.58,22145.126050759874,22269.66141028512,22424.3736023387,22598.09559664544,22787.183358874863,22989.374459860468,23203.0974286251,23427.184249757236,23660.7259122422,23902.990911345827,24153.375396267787,24411.37078521637,24676.541722181842,24948.510501503955,25226.945720020405,25511.55379490078,25802.072484235483,26098.265844196045,26399.920240035317,26706.84114544187,27018.850541888587,22039.300679697553,21916.053532681497,21764.848386739268,21597.531948442167,21418.315898722754,21229.94222720849,21034.393926234538,20833.194737329886,20627.56203815257,20418.49463243679,20206.827559924244,19993.26854344751,19778.42345646749,19562.814845923505,19346.89585648759,19131.060990885373,18915.654621181933,18700.977855624064,18487.294173046605,18274.8341132736,18063.799230312667
2,2010/1/6,22357.46,22514.79,22277.13,22416.67,22411.07225303204,22537.103187964643,22693.67335634347,22869.48162031203,23060.84018344572,23265.45944651616,23481.749066369208,23708.527000612314,23944.873321696552,24190.047740069564,24443.439153139967,24704.53287143368,24972.888310644805,25248.123229154,25529.902243897825,25817.928246338288,26111.935845238935,26411.68626326452,26716.96330007627,27027.570093248993,27343.326486387803,22303.975999362254,22179.248747396032,22026.22774209788,21856.901960018276,21675.53366118997,21484.897764460435,21287.00107640187,21083.385637525702,20875.283445274206,20663.70529825844,20449.49626441536,20233.372565793095,20015.94735193422,19797.74944517129,19579.237432100857,19360.810553127696,19142.817315964727,18925.562444940882,18709.31258307238,18494.301038792055,18280.731786618606
3,2010/1/7,22548.03,22548.03,22169.61,22269.45,22602.099231913377,22729.204426411696,22887.109163967336,23064.41597834657,23257.40563917098,23463.76903117929,23681.902255487203,23910.613194236576,24148.97407862134,24396.23830902619,24651.789573957623,24915.108796843324,25185.751637935096,25463.332597471326,25747.51343365818,26037.994505470793,26334.508159537036,26636.81358323693,26944.69273338826,27257.94706955446,27576.394899727733,22494.090113675706,22368.29971444646,22213.974392245596,22043.20531498439,21860.291073248984,21668.030238675896,21468.446723408728,21263.095711968115,21053.219703067618,20839.838111140092,20623.803207293025,20405.83731849144,20186.558820627808,19966.501043598226,19746.12648288907,19525.837781941234,19305.986419069613,19086.879716005322,18868.786588570147,18651.942333865944,18436.552665044685
4,2010/1/8,22282.75,22443.22,22206.16,22296.75,22336.183101579954,22461.792889783508,22617.83986110508,22793.060641727992,22983.77975841957,23187.71526290813,23403.282126352387,23629.302256289135,23864.858799212157,24109.21393933099,24361.758616123192,24621.979860008196,24889.438558942766,25163.753748611485,25444.591166671627,25731.65469740724,26024.679836416923,26323.4286042671,26627.685523077063,26937.254388259847,27251.95564543369,22229.444722244352,22105.134260602008,21952.624592428278,21783.864631742483,21603.102395749822,21413.103530590273,21215.868136863213,21012.933102176,20805.526307111086,20594.655172580795,20381.161942631294,20165.760445973116,19949.06178323979,19731.593009643784,19513.8111793623,19296.114198692794,19078.849410769963,18862.320521651673,18646.793283336126,18432.50022462944,18219.644638446218
5,2010/1/11,22524.18,22671.92,22373.96,22411.52,22578.192040611913,22705.162790598286,22862.900505669448,23040.019775171233,23232.805302711688,23438.950415477895,23656.852911096878,23885.321932663723,24123.430692712456,24370.433381337596,24625.71433894424,24888.755038009196,25159.11160878112,25436.398959257716,25720.279205417723,26010.453023179194,26306.653042278234,26608.638704812507,26916.19219823325,27229.115192108457,27547.226186613618,22470.2971681629,22344.63982273133,22190.477736916728,22019.889289293347,21837.168523647226,21645.111051447904,21445.73864406196,21240.604841025935,21030.950826810218,20817.794937570132,20601.988542930154,20384.253205819692,20165.20664804901,19945.381635388738,19725.24017412432,19505.18448180374,19285.56566496849,19066.69072028256,18848.82827912416,18632.2133897115,18417.051547605097
6,2010/1/12,22378.23,22476.12,22192.98,22326.64,22431.892058622456,22558.04007584073,22714.755697343353,22890.727286557387,23082.263621108592,23287.07297473914,23503.56352687181,23730.552137000916,23967.118022968145,24212.52020749481,24466.14702027741,24727.483293697198,24996.088034147033,25271.578644906487,25553.619431342453,25841.91300890418,26136.193739807713,26436.222624894508,26741.783262976463,27052.6786087439,27368.72833843729,22324.69631291785,22199.853189782752,22046.69002852055,21877.206943397854,21695.67015407167,21504.85715727911,21306.77662390847,21102.972027021264,20894.676508580964,20682.90180622691,20468.49377296114,20252.16929619948,20034.542095098233,19816.141483263997,19597.426473318632,19378.796676559807,19160.60092446286,18943.14422444452,18726.693467231424,18511.482177999093,18297.714520757818
7,2010/1/13,21990.68,22012.04,21688.17,21748.6,22043.412729948155,22167.37609431082,22321.377687978653,22494.30177122819,22682.521046903188,22883.78347725162,23096.524809116243,23319.582391820237,23552.051389467582,23793.203657150363,24042.438117575613,24299.248524885174,24563.201522674335,24833.921140097864,25111.0774961395,25394.378356404817,25683.56268347026,25978.395617205435,26278.664504094886,26584.175711293177,26894.752037918377,21938.073418431948,21815.392349774393,21664.881694235257,21498.33374605768,21319.94084177975,21132.43237697685,20937.782236032588,20737.50716187902,20532.818940716996,20324.711788741024,20114.016910326736,19901.43877771155,19687.580481558856,19472.962168732018,19258.03490259411,19043.19137390626,18828.77437302087,18615.08362518428,18402.381399064034,18190.89717560688,17980.831583075986
8,2010/1/14,21871.01,21988.93,21707.1,21716.95,21923.45576629842,22046.744540525026,22199.908080494006,22371.891136679238,22559.086151134485,22759.2533413612,22970.836966634473,23192.680703249025,23423.884639290798,23663.724592307837,23911.60275598014,24167.015639363985,24429.53224431557,24698.778645966915,24974.426758465037,25256.18593771149,25543.796566809433,25837.02506370227,26135.659932103248,26439.508592887996,26748.39480947534,21818.689695601013,21696.676239017583,21546.98464001278,21381.343020923632,21203.92090421821,21017.432832508337,20823.841948593268,20624.656741516297,20421.082403118537,20214.107739218285,20004.55943090096,19793.138116771155,19580.443605562836,19366.993213577734,19153.235549559395,18939.561167304397,18726.310991751197,18513.78311708604,18302.238384749515,18091.90502688729,17882.982579973457
9,2010/1/15,21715.09,21788.85,21581.07,21654.16,21767.16187666638,21889.571716372935,22041.643342472737,22212.400319106982,22398.260806868955,22597.000990830293,22807.07622125337,23027.338417947587,23256.894084535525,23495.02420131389,23741.13522376684,23994.727250373737,24255.372355607476,24522.699280337292,24796.3822776578,25076.132775493195,25361.69300777412,25652.83105766723,25949.336936657975,26251.019438532385,26557.703583112525,21663.14269080617,21541.999076911783,21393.37464005984,21228.91389196149,21052.756630259864,20867.598045397695,20675.38728478832,20477.62208334838,20275.49904101984,20069.999914353368,19861.945490965583,19652.031414558183,19440.85321778562,19228.924528964588,19016.69075867469,18804.53967642647,18592.80977668002,18381.797028486748,18171.76041372988,17962.926537471743,17755.49351367659
