Date,Open,High,Low,Close,QPLp1,QPLp21,QPLn1,QPLn21,vol,log_returns,volatility_increments,log_volumes,hurst,hurstp,hurstm
2011/1/18,2744.8,2766.17,2744.26,2765.85,2750.876351,3309.24314,2738.737071,2276.63146,500.18,0.003821672,0.207065585,0.05885807,0.354272929,0.063636696,0.508620447
2011/1/19,2762.81,2764.35,2717.79,2725.36,2768.926221,3330.956732,2756.707289,2291.569573,491.3,-0.014747472,0.273400568,-0.017913094,0.177194032,0.543709272,-0.184073258
2011/1/20,2712.4,2714.1,2686.59,2704.29,2718.404625,3270.180375,2706.408639,2249.757786,566.67,-0.007761129,0.277950496,0.142722185,0.184256298,0.598380998,-0.469007653
2011/1/21,2716.92,2722.74,2688.53,2689.54,2722.934631,3275.629871,2710.918654,2253.50683,521.36,-0.005469226,0.080925382,-0.083336342,0.087696688,1.264664147,-1.000140708
2011/1/24,2693.03,2719.73,2687.97,2717.55,2698.991744,3246.82711,2687.081424,2233.691642,431.67,0.010360564,0.094393964,-0.188779375,0.225283626,0.82818755,-0.065013341
2011/1/25,2704.25,2719.34,2697.51,2719.25,2710.236583,3260.354401,2698.276641,2242.997896,458.23,0.000625368,-0.037246032,0.059709834,0.285201903,1.039558171,-0.335817091
2011/1/26,2724.52,2746.03,2717.63,2739.5,2730.551456,3284.792742,2718.501867,2259.810531,480.26,0.007419315,-0.103583159,0.046956382,0.337208662,0.328902053,0.1947905
2011/1/27,2745.16,2763.64,2740.3,2755.28,2751.237148,3309.67717,2739.096276,2276.930056,481.92,0.005743649,-0.192644907,0.003450501,0.286890591,0.497335611,0.211762369
2011/1/28,2755.28,2755.28,2679.57,2686.89,2761.379551,3321.878256,2749.193922,2285.323932,565.43,-0.02513468,0.255454142,0.159808378,0.179004967,-0.050191075,0.779479239
2011/1/31,2693.3,2706.3,2676.87,2700.08,2699.262342,3247.152633,2687.350828,2233.91559,506.64,0.004897011,0.11583996,-0.109785811,0.110526635,0.34493378,-0.497313515
2011/2/1,2717.61,2755.97,2716.64,2751.19,2723.626159,3276.461764,2711.60713,2254.079139,523.2,0.018752143,0.117827552,0.032163108,0.195069846,0.132408795,-0.099213832
2011/2/2,2751.19,2758.51,2743.76,2749.56,2757.280497,3316.947185,2745.112956,2281.931545,464.81,-0.000592646,0.007899226,-0.11833508,0.308880576,0.8242779,-0.259601058
2011/2/3,2746.74,2757.54,2725.78,2753.88,2752.820646,3311.582083,2740.672786,2278.240562,488.25,0.001569927,-0.053195569,0.04919885,0.242803378,0.852213826,-0.231724777
2011/2/4,2755.85,2769.7,2747.86,2769.3,2761.950813,3322.565472,2749.762663,2285.79671,466.99,0.005583754,-0.22720479,-0.044519726,0.288326538,0.2637774,0.257863527
2011/2/7,2773.26,2796.5,2772.81,2783.99,2779.399355,3343.55568,2767.134206,2300.237162,416.65,0.00529057,-0.252782144,-0.114061303,0.197149973,-0.717752513,1.103583185
2011/2/8,2782.41,2797.05,2776.35,2797.05,2788.569611,3354.587294,2776.263995,2307.826486,411.28,0.00468014,-0.319060562,-0.012972293,0.144814663,-0.414424574,0.565319305
2011/2/9,2791.13,2798.91,2780.89,2789.07,2797.308915,3365.100483,2784.964734,2315.059154,466.49,-0.002857083,0.014810462,0.125962336,0.001260084,-0.634139563,0.537549796
2011/2/10,2764.76,2791.43,2762.34,2790.45,2770.880538,3333.307732,2758.652982,2293.18697,601.57,0.000494666,0.003110964,0.254306321,0.052539522,-0.149667732,0.166460905
2011/2/11,2783.16,2810.56,2778.21,2809.44,2789.321271,3355.491525,2777.012338,2308.448562,486.9,0.006782302,-0.036018981,-0.211484141,0.009461632,-0.828555642,0.78665098
2011/2/14,2810.19,2819.87,2808.27,2817.18,2816.411109,3388.079998,2803.982632,2330.868173,468.9,0.002751209,-0.081384996,-0.037669237,-0.019857224,-0.092816104,-0.101925835
2011/2/15,2809.02,2813.13,2798.83,2804.35,2815.238519,3386.669398,2802.815217,2329.897735,495.1,-0.004564602,-0.110460665,0.054370236,0.176855977,-0.399676321,0.611165038
2011/2/16,2815.09,2828.19,2811.52,2825.56,2821.321957,3393.987639,2808.871809,2334.932402,530.03,0.007534792,0.177404428,0.068173846,0.163957761,-0.225729326,0.566631487
2011/2/17,2816.12,2835.2,2815.08,2831.58,2822.354237,3395.229449,2809.899534,2335.786719,458.3,0.002128285,0.094388847,-0.145409617,0.188847121,-0.225903554,0.318134375
2011/2/18,2833.35,2840.51,2823.65,2833.95,2839.62238,3416.002641,2827.091475,2350.077873,597.63,0.000836638,-0.009347602,0.265447842,0.124595407,0.252187835,-0.151588925
2011/2/22,2795.44,2808.18,2752.75,2756.42,2801.628456,3370.296795,2789.265213,2318.634016,575.02,-0.027738762,0.026538849,-0.038567011,0.179271846,0.060463748,0.276161051
2011/2/23,2755.2,2761.7,2705.54,2722.99,2761.299374,3321.781805,2749.114099,2285.257577,588.49,-0.012202195,0.774271827,0.023155111,0.165258975,0.941682306,-0.651289679
2011/2/24,2726.59,2745.29,2707.63,2737.9,2732.626038,3287.288419,2720.567295,2261.52746,539.6,0.005460662,0.037503557,-0.08673181,0.061217453,1.479495105,-0.985848834
2011/2/25,2752.16,2781.12,2751.81,2781.05,2758.252644,3318.116657,2746.080813,2282.736097,468.6,0.015637351,0.072248048,-0.141078598,0.137737871,0.945550446,-0.084381777
2011/2/28,2791.28,2798.43,2767.61,2782.27,2797.459247,3365.281329,2785.114402,2315.183569,575.72,0.000438587,0.004901111,0.205871905,0.172554795,0.314438183,0.644980075
2011/3/1,2791.08,2791.23,2730.72,2737.41,2797.258804,3365.040201,2784.914844,2315.017682,580.4,-0.016254923,-0.015686558,0.00809609,0.212942616,0.063114317,0.189452829
2011/3/2,2735.05,2763.95,2734.08,2748.07,2741.104767,3297.488141,2729.008607,2268.544475,492.07,0.003886629,-0.394499154,-0.165096538,0.319596603,0.222753542,0.250507357
2011/3/3,2774.48,2802.32,2774.48,2798.74,2780.622056,3345.026562,2768.351511,2301.249072,503.92,0.018270469,0.009462102,0.023796543,0.3180092,0.081351373,0.479517809
2011/3/4,2797.64,2798.07,2768.12,2784.67,2803.833327,3372.949205,2791.460354,2320.458772,489.53,-0.005039941,0.014123969,-0.028971778,0.273263534,0.230543005,0.188599012
2011/3/7,2793.19,2794.82,2724.51,2745.63,2799.373475,3367.584103,2787.020183,2316.767789,586.99,-0.014118818,0.118573992,0.181562037,0.143890917,0.42196337,-0.59071243
2011/3/8,2745.23,2775.41,2729.85,2765.77,2751.307303,3309.761565,2739.166121,2276.988117,476.58,0.00730852,0.137072003,-0.208372184,0.12336618,0.62062593,-0.342177166
2011/3/9,2756.34,2761.77,2737.68,2751.72,2762.441898,3323.156236,2750.25158,2286.203132,502.98,-0.005092907,-0.033491277,0.053914808,0.181340404,0.742610626,-0.378068586
2011/3/10,2719.29,2721.21,2695.08,2701.02,2725.309878,3278.48724,2713.283419,2255.472589,635.12,-0.018596691,0.030669435,0.23326355,0.214859854,0.286754744,0.247835586
2011/3/11,2689.65,2724.61,2689.41,2715.61,2695.604262,3242.752044,2683.70889,2230.888154,479.3,0.005387126,0.010065467,-0.281487251,0.21455347,0.185573072,0.220199416
2011/3/14,2695.66,2715.22,2682.09,2700.97,2701.627567,3249.997946,2689.705615,2235.873055,467.23,-0.005405638,-0.054585164,-0.025505064,0.196002074,-1.084654907,1.367779208
2011/3/15,2619.4,2680.57,2618.5,2667.33,2625.198745,3158.055771,2613.614064,2172.62039,630.41,-0.012532996,-0.051152661,0.29954876,0.052209794,-0.204177585,0.082337736
2011/3/16,2652.92,2669.27,2603.5,2616.82,2658.79295,3198.468854,2647.060023,2200.42303,683.02,-0.019118132,0.239723873,0.08015374,0.245131068,-0.233271896,0.494194228
2011/3/17,2656.08,2660.5,2634.17,2636.05,2661.959946,3202.278679,2650.213043,2203.044042,515.47,0.007321744,0.040876991,-0.281445036,0.17496216,0.151170273,0.18441004
