Date,Open,High,Low,Close,Hurst
2011/1/6,2704.38,2712.35,2697.73,2709.89,0.584601056
2011/1/7,2712.75,2715.96,2676.36,2703.17,0.594510723
2011/1/10,2691.47,2712.32,2682.25,2707.8,0.601399454
2011/1/11,2719.6,2722.75,2706.58,2716.83,0.59803629
2011/1/12,2731.45,2737.33,2722.32,2737.33,0.59497608
2011/1/13,2734.93,2742.43,2727.14,2735.29,0.591664583
2011/1/14,2732.48,2755.3,2729.62,2755.3,0.600779365
2011/1/18,2744.8,2766.17,2744.26,2765.85,0.613970784
2011/1/19,2762.81,2764.35,2717.79,2725.36,0.609126918
2011/1/20,2712.4,2714.1,2686.59,2704.29,0.600075273
2011/1/21,2716.92,2722.74,2688.53,2689.54,0.574350742
2011/1/24,2693.03,2719.73,2687.97,2717.55,0.547303583
2011/1/25,2704.25,2719.34,2697.51,2719.25,0.532742024
2011/1/26,2724.52,2746.03,2717.63,2739.5,0.518400576
2011/1/27,2745.16,2763.64,2740.3,2755.28,0.517647008
2011/1/28,2755.28,2755.28,2679.57,2686.89,0.512956088
2011/1/31,2693.3,2706.3,2676.87,2700.08,0.512762716
2011/2/1,2717.61,2755.97,2716.64,2751.19,0.511075271
2011/2/2,2751.19,2758.51,2743.76,2749.56,0.504376388
2011/2/3,2746.74,2757.54,2725.78,2753.88,0.499306447
2011/2/4,2755.85,2769.7,2747.86,2769.3,0.496793667
2011/2/7,2773.26,2796.5,2772.81,2783.99,0.504752657
2011/2/8,2782.41,2797.05,2776.35,2797.05,0.516165777
2011/2/9,2791.13,2798.91,2780.89,2789.07,0.514971013
2011/2/10,2764.76,2791.43,2762.34,2790.45,0.507703243
2011/2/11,2783.16,2810.56,2778.21,2809.44,0.503214096
2011/2/14,2810.19,2819.87,2808.27,2817.18,0.505843257
2011/2/15,2809.02,2813.13,2798.83,2804.35,0.501661094
2011/2/16,2815.09,2828.19,2811.52,2825.56,0.498202052
2011/2/17,2816.12,2835.2,2815.08,2831.58,0.48904077
2011/2/18,2833.35,2840.51,2823.65,2833.95,0.485339861
2011/2/22,2795.44,2808.18,2752.75,2756.42,0.486995683
