,Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,vol,log_returns,volatility_increments,log_volumes,hurst,hurstp,hurstm
0,2011/1/18,2744.8,2766.17,2744.26,2765.85,2750.876351,2765.154075,2782.884506,2802.79109,2824.456922,2847.623092,2872.109732,2897.783141,2924.539257,2952.294334,2980.979239,3010.535741,3040.913995,3072.070753,3103.968068,3136.572325,3169.853494,3203.784559,3238.341057,3273.500712,3309.24314,2738.737071,2724.59575,2707.23669,2688.008773,2667.389607,2645.689685,2623.133426,2599.893323,2576.107338,2551.888866,2527.332945,2502.520377,2477.520592,2452.393726,2427.192186,2401.961843,2376.74298,2351.571056,2326.477325,2301.489354,2276.63146,500.18,0.0038216722387120973,0.20706558494150418,0.058858069609857934,0.35437854814432396,0.03282843669363122,0.5359811985123224
1,2011/1/19,2762.81,2764.35,2717.79,2725.36,2768.926221,2783.297628,2801.144398,2821.181599,2842.989591,2866.307765,2890.955075,2916.796939,2943.728616,2971.665808,3000.538929,3030.289366,3060.866946,3092.228139,3124.334749,3157.152938,3190.652482,3224.806186,3259.589426,3294.979781,3330.956732,2756.707289,2742.47318,2725.000219,2705.646138,2684.891679,2663.049372,2640.345111,2616.952518,2593.010462,2568.63308,2543.916036,2518.94066,2493.776838,2468.485103,2443.118203,2417.722311,2392.337975,2367.000885,2341.742501,2316.590572,2291.569573,491.3,-0.014747472355965338,0.27340056782955546,-0.01791309446313703,0.17727347550353462,0.5254866101705733,-0.15074392053346586
2,2011/1/20,2712.4,2714.1,2686.59,2704.29,2718.404625,2732.513812,2750.034951,2769.706555,2791.116641,2814.009354,2838.20695,2863.577307,2890.01759,2917.445042,2945.791346,2974.99896,3005.018624,3035.807603,3067.328398,3099.54779,3132.436104,3165.966642,3200.11523,3234.859856,3270.180375,2706.408639,2692.434244,2675.280093,2656.279145,2635.90337,2614.459597,2592.169595,2569.203822,2545.69861,2521.766015,2497.499957,2472.98028,2448.275595,2423.44533,2398.541273,2373.608752,2348.687576,2323.812785,2299.015264,2274.322254,2249.757786,566.67,-0.007761128530464618,0.27795049617004164,0.14272218453723526,0.1841890633645463,0.6286698084470667,-0.48529440196444007
3,2011/1/21,2716.92,2722.74,2688.53,2689.54,2722.934631,2737.06733,2754.617667,2774.322052,2795.767816,2818.698678,2842.936598,2868.349232,2894.833575,2922.306734,2950.700275,2979.95656,3010.02625,3040.866536,3072.439858,3104.712941,3137.656061,3171.242475,3205.447969,3240.250494,3275.629871,2710.918654,2696.920972,2679.738235,2660.705624,2640.295894,2618.816387,2596.48924,2573.485197,2549.940815,2525.968339,2501.661843,2477.101306,2452.355452,2427.48381,2402.538252,2377.564183,2352.601478,2327.685235,2302.846391,2278.112232,2253.50683,521.36,-0.005469225677243433,0.08092538241762792,-0.08333634168771292,0.08779694835427275,1.264697473077137,-0.9999336400056739
4,2011/1/24,2693.03,2719.73,2687.97,2717.55,2698.991744,2713.000174,2730.39619,2749.927313,2771.184504,2793.913733,2817.938528,2843.127708,2869.379173,2896.610759,2924.754634,2953.753668,2983.558954,3014.12806,3045.423756,3077.41306,3110.06651,3143.357597,3177.262321,3211.758825,3246.82711,2687.081424,2673.206825,2656.175176,2637.309919,2617.079653,2595.789016,2573.658193,2550.856425,2527.51907,2503.757386,2479.664617,2455.320042,2430.79178,2406.138836,2381.412625,2356.658154,2331.914947,2307.217794,2282.597359,2258.080689,2233.691642,431.67,0.010360563834519786,0.09439396428074254,-0.18877937458068905,0.2253351101689058,0.765286470005292,-0.042653441626442155
5,2011/1/25,2704.25,2719.34,2697.51,2719.25,2710.236583,2724.303376,2741.771869,2761.384365,2782.73012,2805.554046,2829.678936,2854.973061,2881.333899,2908.67894,2936.940071,2966.059924,2995.989388,3026.685854,3058.111938,3090.234519,3123.024013,3156.453802,3190.499783,3225.140011,3260.354401,2698.276641,2684.344235,2667.241628,2648.297772,2627.983221,2606.60388,2584.380853,2561.484086,2538.049501,2514.188817,2489.995671,2465.549669,2440.919214,2416.163558,2391.33433,2366.476724,2341.63043,2316.830381,2292.107369,2267.488555,2242.997896,458.23,0.0006253678838300908,-0.037246031708645155,0.05970983402497497,0.2853275654803427,0.9969386054150389,-0.27333095446383426
6,2011/1/26,2724.52,2746.03,2717.63,2739.5,2730.551456,2744.723688,2762.323118,2782.082622,2803.588376,2826.583382,2850.889102,2876.372822,2902.93125,2930.481259,2958.954225,2988.292348,3018.446152,3049.372707,3081.034349,3113.397708,3146.432979,3180.113344,3214.414521,3249.314399,3284.792742,2718.501867,2704.465029,2687.234227,2668.148376,2647.681555,2626.141963,2603.752361,2580.683969,2557.073727,2533.034193,2508.659704,2484.030464,2459.21539,2434.274175,2409.258837,2384.214908,2359.182375,2334.196435,2309.288109,2284.484762,2259.810531,480.26,0.007419315004510769,-0.10358315929797879,0.04695638245175759,0.3375078775875938,0.15007611145582428,0.46657887411701854
7,2011/1/27,2745.16,2763.64,2740.3,2755.28,2751.237148,2765.516744,2783.249501,2803.158696,2824.82737,2847.996578,2872.48643,2898.163206,2924.922831,2952.681549,2981.370215,3010.930595,3041.312832,3072.473676,3104.375175,3136.983708,3170.269243,3204.204759,3238.765789,3273.930055,3309.67717,2739.096276,2724.9531,2707.591764,2688.361325,2667.739454,2646.036686,2623.477468,2600.234318,2576.445213,2552.223564,2527.664423,2502.848601,2477.845536,2452.715375,2427.510529,2402.276877,2377.054707,2351.879481,2326.782459,2301.791211,2276.930056,481.92,0.005743648838050567,-0.19264490663020872,0.0034505012513058445,0.28736912272354204,0.36581427814935885,0.29046869710472883
8,2011/1/28,2755.28,2755.28,2679.57,2686.89,2761.379551,2775.711789,2793.509918,2813.492508,2835.241063,2858.495684,2883.075817,2908.84725,2935.705524,2963.566574,2992.361002,3022.030355,3052.524596,3083.800315,3115.819418,3148.548162,3181.956403,3216.017022,3250.705461,3285.99936,3321.878256,2749.193922,2734.998608,2717.573269,2698.271937,2677.574044,2655.791269,2633.148887,2609.820051,2585.943248,2561.632306,2536.982628,2512.075323,2486.980084,2461.757281,2436.459518,2411.132842,2385.817691,2360.549657,2335.360115,2310.276737,2285.323932,565.43,-0.02513467988790844,0.25545414214491036,0.15980837846108162,0.17918859013398197,-0.0309534627679773,0.8083323576887008
9,2011/1/31,2693.3,2706.3,2676.87,2700.08,2699.262342,2713.272176,2730.669936,2750.203018,2771.462339,2794.193848,2818.221051,2843.412756,2869.666854,2896.90117,2925.047867,2954.049808,2983.858082,3014.430253,3045.729087,3077.721598,3110.378321,3143.672746,3177.580869,3212.080832,3247.152633,2687.350828,2673.474837,2656.441481,2637.574333,2617.342039,2596.049267,2573.916225,2551.112171,2527.772477,2504.008409,2479.913226,2455.56621,2431.035489,2406.380072,2381.651382,2356.89443,2332.148742,2307.449113,2282.826209,2258.307081,2233.91559,506.64,0.004897011254488821,0.11583995983945972,-0.10978581142438087,0.11069688461024578,0.3450563565340908,-0.49692762588407857
10,2011/2/1,2717.61,2755.97,2716.64,2751.19,2723.626159,2737.762447,2755.317241,2775.02663,2796.477841,2819.414526,2843.658601,2869.077689,2895.568759,2923.048895,2951.449646,2980.713362,3010.790689,3041.638807,3073.220148,3105.501426,3138.452913,3172.047857,3206.262038,3241.073401,3276.461764,2711.60713,2697.605893,2680.418793,2661.381347,2640.966434,2619.481472,2597.148655,2574.138769,2550.588408,2526.609844,2502.297175,2477.7304,2452.978263,2428.100304,2403.14841,2378.167999,2353.198954,2328.276384,2303.431231,2278.690791,2254.079139,523.2,0.01875214315079774,0.11782755207271611,0.03216310793481417,0.19491036084053986,-0.011469614516269452,0.10354356883796277
