date,close,open,high,low,vol,return
2012/1/3,5699.91 ,5572.28 ,5699.91 ,5572.28 ,778.53,0.0229 
2012/1/4,5668.45 ,5699.91 ,5719.83 ,5646.36 ,696.94,-0.0055 
2012/1/5,5624.26 ,5668.45 ,5689.33 ,5614.38 ,794.28,-0.0078 
2012/1/6,5649.68 ,5624.26 ,5682.78 ,5623.36 ,705.02,0.0045 
2012/1/9,5612.26 ,5649.68 ,5673.82 ,5604.62 ,785.65,-0.0066 
2012/1/10,5696.70 ,5612.26 ,5711.89 ,5612.26 ,865.03,0.0150 
2012/1/11,5670.82 ,5696.70 ,5700.75 ,5644.75 ,893.41,-0.0045 
2012/1/12,5662.42 ,5670.82 ,5699.57 ,5640.30 ,1380,-0.0015 
2012/1/13,5636.64 ,5662.42 ,5709.22 ,5583.45 ,1320,-0.0046 
2012/1/16,5657.44 ,5636.64 ,5662.88 ,5609.87 ,672.82,0.0037 
2012/1/17,5693.95 ,5657.44 ,5724.41 ,5657.44 ,1230,0.0065 
2012/1/18,5702.37 ,5693.95 ,5709.87 ,5647.92 ,792.32,0.0015 
2012/1/19,5741.15 ,5702.37 ,5743.93 ,5693.16 ,1400,0.0068 
2012/1/20,5728.55 ,5741.15 ,5749.77 ,5721.61 ,1320,-0.0022 
2012/1/23,5782.56 ,5728.55 ,5789.85 ,5723.09 ,852.46,0.0094 
2012/1/24,5751.90 ,5782.56 ,5782.56 ,5719.86 ,916.1,-0.0053 
2012/1/25,5723.00 ,5751.90 ,5777.69 ,5694.05 ,884.69,-0.0050 
2012/1/26,5795.20 ,5723.00 ,5806.24 ,5722.83 ,874.33,0.0126 
2012/1/27,5733.45 ,5795.20 ,5795.20 ,5728.96 ,790.05,-0.0107 
2012/1/30,5671.09 ,5733.45 ,5733.45 ,5651.56 ,778.1,-0.0109 
2012/1/31,5681.61 ,5671.09 ,5730.32 ,5671.09 ,1020,0.0019 
2012/2/1,5790.72 ,5681.61 ,5790.72 ,5680.67 ,985.25,0.0192 
2012/2/2,5796.07 ,5790.72 ,5809.82 ,5765.72 ,967.39,0.0009 
