Date,log_returns,QPLp1,QPLp21,QPLn1,QPLn21
2011/2/1,0.01238771,11914.1112,13899.09635,11870.928,10175.59363
2011/2/2,0.000150319,12060.1461,14069.46181,12016.43358,10300.31898
2011/2/3,0.001683522,12062.56048,14072.27845,12018.83921,10302.38105
2011/2/4,0.002474912,12083.64873,14096.88017,12039.85103,10320.39209
2011/2/7,0.005729432,12114.35443,14132.70168,12070.44543,10346.61718
2011/2/8,0.005863566,12174.78404,14203.19935,12130.65602,10398.22886
2011/2/9,0.00055081,12251.51322,14292.71221,12207.10709,10463.76165
2011/2/10,-0.000866396,12261.90207,14304.83192,12217.45828,10472.63454
2011/2/11,0.003589018,12250.00048,14290.94743,12205.59983,10462.46964
2011/2/14,-0.000413179,12289.12144,14336.58626,12244.57899,10495.88204
2011/2/15,-0.003392556,12289.0413,14336.49276,12244.49914,10495.81359
2011/2/16,0.005019833,12241.99596,14281.6093,12197.62432,10455.63315
2011/2/17,0.002435962,12310.0494,14361.00098,12265.4311,10513.75618
2011/2/18,0.005917606,12341.05565,14397.17311,12296.32496,10540.23796
2011/2/22,-0.014506815,12412.2548,14480.2346,12367.26604,10601.04767
2011/2/23,-0.008800739,12234.00146,14272.28285,12189.65879,10448.80521
2011/2/24,-0.003084272,12126.55656,14146.93679,12082.60334,10357.03877
2011/2/25,0.005120068,12082.84728,14095.94519,12039.05248,10319.70758
2011/2/28,0.00787382,12152.49361,14177.19515,12108.44637,10379.19106
2011/3/1,-0.013862642,12248.70814,14289.43978,12204.31217,10461.36588
2011/3/2,0.000727881,12079.25075,14091.74945,12035.46899,10316.63587
2011/3/3,0.015737221,12089.94014,14104.21978,12046.11964,10325.76545
2011/3/4,-0.007231054,12281.15699,14327.29487,12236.64341,10489.07977
2011/3/7,-0.006582901,12193.20746,14224.69225,12149.01266,10413.96391
2011/3/8,0.0102328,12107.8326,14125.09326,12063.94724,10341.04703
2011/3/9,-0.000105619,12233.35028,14271.52318,12189.00997,10448.24905
2011/3/10,-0.018885001,12233.62077,14271.83873,12189.27948,10448.48008
2011/3/11,0.004976495,11998.72469,13997.80711,11955.23479,10247.86024
2011/3/14,-0.004263334,12064.01311,14073.9731,12020.28658,10303.62172
2011/3/15,-0.01155134,12010.476,14011.51629,11966.94352,10257.89679
2011/3/16,-0.020634154,11875.74161,13854.33407,11832.69747,10142.82295
2011/3/17,0.013792827,11635.99673,13574.6458,11593.82156,9938.06186
2011/3/18,0.007102777,11798.63173,13764.37709,11755.86709,10076.96502
2011/3/21,0.014899596,11881.66234,13861.24125,11838.59675,10147.87973
2011/3/22,-0.001488246,12058.24265,14067.24123,12014.53703,10298.69328
2011/3/23,0.005591467,12040.23999,14046.23919,11996.59962,10283.31759
2011/3/24,0.006970508,12109.50563,14127.04504,12065.61421,10342.47593
2011/3/25,0.004102313,12192.82677,14224.24813,12148.63335,10413.63877
2011/3/28,-0.001860068,12243.3985,14283.24552,12199.02178,10456.83104
2011/3/29,0.006629134,12216.63997,14252.0288,12172.36023,10433.97713
2011/3/30,0.005814154,12302.3855,14352.06022,12257.79498,10507.2106
2011/3/31,-0.002503412,12373.20396,14434.67759,12328.35675,10567.69517
2011/4/1,0.004615246,12343.40992,14399.91962,12298.6707,10542.24869
2011/4/4,0.001881603,12397.08728,14462.54006,12352.15351,10588.09341
2011/4/5,-0.000494476,12424.61722,14494.6567,12379.58366,10611.60616
2011/4/6,0.002646991,12409.1692,14476.63492,12364.19163,10598.41232
2011/4/7,-0.001389905,12449.03151,14523.1386,12403.90946,10632.45789
2011/4/8,-0.002375196,12432.42138,14503.7611,12387.35953,10618.27152
2011/4/11,8.56E-05,12402.92788,14469.35375,12357.97293,10593.08174
2011/4/12,-0.00953803,12403.68926,14470.24198,12358.73155,10593.73202
2011/4/13,0.000604046,12285.93566,14332.8697,12241.40476,10493.16113
2011/4/14,0.001153276,12292.53764,14340.57162,12247.98281,10498.79974
2011/4/15,0.00460309,12307.77528,14358.34797,12263.16522,10511.81389
2011/4/18,-0.011428035,12362.13388,14421.76315,12317.32679,10558.24044
2011/4/19,0.005326079,12223.61261,14260.16314,12179.30761,10439.93232
2011/4/20,0.01511257,12289.0413,14336.49276,12244.49914,10495.81359
2011/4/21,0.00420281,12476.25088,14554.89294,12431.03017,10655.70539
2011/4/25,-0.002089982,12528.71605,14616.09922,12483.30518,10700.51479
2011/4/26,0.009211539,12503.54038,14586.72909,12458.22076,10679.01278
2011/4/27,0.007560643,12615.11276,14716.89031,12569.38874,10774.30442
2011/4/28,0.00568472,12712.96025,14831.03996,12666.88158,10857.87392
2011/4/29,0.003693621,12786.65392,14917.01159,12740.30815,10920.81415
2011/5/2,-0.000248264,12833.43879,14971.59118,12786.92344,10960.77212
2011/5/3,1.17E-05,12829.65192,14967.17339,12783.15029,10957.53784
2011/5/4,-0.006574753,12829.56176,14967.0682,12783.06046,10957.46083
2011/5/5,-0.01101729,12746.77158,14870.48453,12700.57036,10886.75147
2011/5/6,0.004327025,12603.62192,14703.485,12557.93955,10764.49033
2011/5/9,0.003628266,12660.79563,14770.1843,12614.90603,10813.3212
2011/5/10,0.005948525,12708.18158,14825.46513,12662.12023,10853.79256
2011/5/11,-0.010266179,12769.03196,14896.45366,12722.75005,10905.76359
2011/5/12,0.00520337,12652.91133,14760.98641,12607.05031,10806.58739
2011/5/13,-0.007921227,12718.7207,14837.76015,12672.62115,10862.7938
2011/5/16,-0.003768679,12617.65738,14719.85888,12571.92414,10776.47773
2011/5/17,-0.005497068,12564.12027,14657.40206,12518.58107,10730.7528
2011/5/18,0.006437784,12494.44388,14576.11704,12449.15723,10671.24365
2011/5/19,0.003587455,12584.28685,14680.92855,12538.67456,10747.97665
2011/5/20,-0.007427566,12627.62546,14731.48772,12581.85609,10784.99126
2011/5/23,-0.010507342,12534.0958,14622.37529,12488.66544,10705.10953
2011/5/24,-0.002025268,12404.06995,14470.6861,12359.11086,10594.05716
2011/5/25,0.003106964,12377.90248,14440.15892,12333.03824,10571.70808
2011/5/26,0.000653294,12414.14823,14482.4435,12369.15262,10602.66481
