Date,log_returns,Open,High,Low,Close
2011/2/1,0.01238771,11892.5,12050.75,11892.5,12040.16
2011/2/2,0.000150319,12038.27,12057.91,12018.51,12041.97
2011/2/3,0.001683522,12040.68,12080.54,11981.05,12062.26
2011/2/4,0.002474912,12061.73,12092.42,12025.78,12092.15
2011/2/7,0.005729432,12092.38,12188.76,12092.3,12161.63
2011/2/8,0.005863566,12152.7,12238.79,12150.05,12233.15
2011/2/9,0.00055081,12229.29,12254.23,12188.19,12239.89
2011/2/10,-0.000866396,12239.66,12239.66,12156.94,12229.29
2011/2/11,0.003589018,12227.78,12285.94,12180.48,12273.26
2011/2/14,-0.000413179,12266.83,12276.21,12235.91,12268.19
2011/2/15,-0.003392556,12266.75,12267.66,12193.27,12226.64
2011/2/16,0.005019833,12219.79,12303.16,12219.79,12288.17
2011/2/17,0.002435962,12287.72,12331.31,12253.24,12318.14
2011/2/18,0.005917606,12318.67,12391.29,12303.23,12391.25
2011/2/22,-0.014506815,12389.74,12389.82,12176.31,12212.79
2011/2/23,-0.008800739,12211.81,12221.12,12063.43,12105.78
2011/2/24,-0.003084272,12104.56,12129.62,11983.17,12068.5
2011/2/25,0.005120068,12060.93,12151.03,12060.93,12130.45
2011/2/28,0.00787382,12130.45,12235.04,12130.15,12226.34
2011/3/1,-0.013862642,12226.49,12261.38,12054.99,12058.02
2011/3/2,0.000727881,12057.34,12115.12,12018.63,12066.8
2011/3/3,0.015737221,12068.01,12283.1,12068.01,12258.2
2011/3/4,-0.007231054,12258.88,12271.37,12079.51,12169.88
2011/3/7,-0.006582901,12171.09,12243.44,12041.6,12090.03
2011/3/8,0.0102328,12085.87,12251.2,12072.21,12214.38
2011/3/9,-0.000105619,12211.16,12257.82,12156.6,12213.09
2011/3/10,-0.018885001,12211.43,12211.43,11974.39,11984.61
2011/3/11,0.004976495,11976.96,12087.01,11936.32,12044.4
2011/3/14,-0.004263334,12042.13,12042.13,11897.31,11993.16
2011/3/15,-0.01155134,11988.69,11988.69,11696.25,11855.42
2011/3/16,-0.020634154,11854.2,11856.7,11555.48,11613.3
2011/3/17,0.013792827,11614.89,11800.54,11614.82,11774.59
2011/3/18,0.007102777,11777.23,11927.09,11777.23,11858.52
2011/3/21,0.014899596,11860.11,12078.3,11860.11,12036.53
2011/3/22,-0.001488246,12036.37,12050.98,12002.85,12018.63
2011/3/23,0.005591467,12018.4,12116.14,11972.61,12086.02
2011/3/24,0.006970508,12087.54,12191.18,12087.54,12170.56
2011/3/25,0.004102313,12170.71,12259.79,12170.71,12220.59
2011/3/28,-0.001860068,12221.19,12272.92,12197.88,12197.88
2011/3/29,0.006629134,12194.48,12285.41,12173.51,12279.01
2011/3/30,0.005814154,12280.07,12383.46,12280.07,12350.61
2011/3/31,-0.002503412,12350.76,12381.68,12319.01,12319.73
2011/4/1,0.004615246,12321.02,12419.71,12321.02,12376.72
2011/4/4,0.001881603,12374.6,12407.41,12369.15,12400.03
2011/4/5,-0.000494476,12402.08,12438.14,12353.34,12393.9
2011/4/6,0.002646991,12386.66,12450.93,12386.66,12426.75
2011/4/7,-0.001389905,12426.45,12440.56,12328.36,12409.49
2011/4/8,-0.002375196,12409.87,12450.36,12320.72,12380.05
2011/4/11,8.56E-05,12380.43,12444,12352.88,12381.11
2011/4/12,-0.00953803,12381.19,12381.19,12233,12263.58
2011/4/13,0.000604046,12263.65,12335.1,12224.45,12270.99
2011/4/14,0.001153276,12270.24,12305.58,12163.86,12285.15
2011/4/15,0.00460309,12285.45,12369.27,12272.58,12341.83
2011/4/18,-0.011428035,12339.71,12339.79,12093.89,12201.59
2011/4/19,0.005326079,12201.44,12275.34,12200.3,12266.75
2011/4/20,0.01511257,12266.75,12475.53,12263.58,12453.54
2011/4/21,0.00420281,12453.62,12506.06,12447.56,12505.99
2011/4/25,-0.002089982,12505.99,12506.22,12446.05,12479.88
2011/4/26,0.009211539,12480.86,12613.16,12478.14,12595.37
2011/4/27,0.007560643,12592.23,12708.37,12588.33,12690.96
2011/4/28,0.00568472,12689.9,12776.14,12674.54,12763.31
2011/4/29,0.003693621,12763.46,12832.83,12751.13,12810.54
2011/5/2,-0.000248264,12810.16,12876,12784.62,12807.36
2011/5/3,1.17E-05,12806.38,12840.66,12749.99,12807.51
2011/5/4,-0.006574753,12806.29,12806.68,12673.02,12723.58
2011/5/5,-0.01101729,12723.65,12724.56,12521.28,12584.17
2011/5/6,0.004327025,12580.76,12759.23,12579.93,12638.74
2011/5/9,0.003628266,12637.83,12722.07,12620.2,12684.68
2011/5/10,0.005948525,12685.13,12781.06,12681.65,12760.36
2011/5/11,-0.010266179,12745.87,12748.21,12577.21,12630.03
2011/5/12,0.00520337,12629.96,12718.58,12537.17,12695.92
2011/5/13,-0.007921227,12695.65,12714.5,12543.19,12595.75
2011/5/16,-0.003768679,12594.77,12642.9,12530.81,12548.37
2011/5/17,-0.005497068,12541.33,12541.33,12378.84,12479.58
2011/5/18,0.006437784,12471.78,12571.15,12443.1,12560.18
2011/5/19,0.003587455,12561.46,12633.59,12533.46,12605.32
2011/5/20,-0.007427566,12604.72,12604.83,12485.86,12512.04
2011/5/23,-0.010507342,12511.36,12511.36,12331.77,12381.26
2011/5/24,-0.002025268,12381.57,12422.55,12350.04,12356.21
2011/5/25,0.003106964,12355.45,12440.03,12309.52,12394.66
2011/5/26,0.000653294,12391.63,12441.58,12317.92,12402.76
2011/5/27,0.00312506,12398.06,12483.81,12397.69,12441.58
2011/5/31,0.010252227,12443.4,12574.29,12443.4,12569.79
2011/6/1,-0.022499001,12569.41,12569.49,12282.42,12290.14
2011/6/2,-0.003389752,12289.61,12306.71,12190.54,12248.55
2011/6/3,-0.007974695,12247.8,12247.87,12104.03,12151.26
2011/6/6,-0.005057512,12151.19,12151.49,12070.66,12089.96
2011/6/7,-0.001585215,12090.18,12178.89,12066.61,12070.81
2011/6/8,-0.001813452,12066.27,12098.36,12024.26,12048.94
2011/6/9,0.006239963,12049.47,12183.12,12049.09,12124.36
2011/6/10,-0.014325554,12124.17,12124.85,11937.42,11951.91
2011/6/13,8.87E-05,11945.33,12011.66,11917.78,11952.97
2011/6/14,0.010249338,11951.38,12120.8,11951.38,12076.11
2011/6/15,-0.014920159,12075.12,12075.2,11862.53,11897.27
2011/6/16,0.005385869,11896.13,11990.02,11875.77,11961.52
2011/6/17,0.003575086,11962.66,12072.89,11962.51,12004.36
2011/6/20,0.006312732,12004.28,12099.87,11971.29,12080.38
2011/6/21,0.009034115,12081.33,12217.33,12081.18,12190.01
2011/6/22,-0.006612457,12189.71,12207.99,12105.85,12109.67
2011/6/23,-0.004939647,12108.35,12108.73,11874.94,12050
2011/6/24,-0.009624591,12049.24,12057.19,11925.42,11934.58
2011/6/27,0.009090009,11934.66,12098.81,11934.05,12043.56
2011/6/28,0.011978395,12042.28,12190.43,12042.28,12188.69
2011/6/29,0.005949275,12187.63,12284.39,12175.86,12261.42
2011/6/30,0.012394508,12262.25,12427.09,12262.1,12414.34
