Date,log_returns,hurst,hurstp,hurstm
2013/2/1,0.011147031,0.199834425,0.465763325,-0.011092688
2013/2/4,-0.015944337,0.1094976,0.183495202,-0.016421576
2013/2/5,0.005733638,0.223924142,0.378750866,0.161736284
2013/2/6,0.002000303,0.154162187,0.435800672,0.063794434
2013/2/7,-0.010686988,0.412156398,0.937173217,0.081543012
2013/2/8,0.005685095,0.39164922,0.902184188,0.130694443
2013/2/11,0.002093934,0.339803137,0.348375366,0.476139371
2013/2/12,0.009721497,0.305477221,0.12666776,0.470875641
2013/2/13,0.003265215,0.176579669,-0.189810286,0.472196309
2013/2/14,-0.005005343,0.340607985,0.061371455,0.578133171
2013/2/15,0.000142229,0.364922553,0.145562099,0.576721775
2013/2/18,-0.001592542,0.41534414,0.145334793,0.607997498
2013/2/19,0.009589544,0.317152255,0.164318192,0.409450895
2013/2/20,0.002551972,0.3651325,-0.211311414,1.139047453
2013/2/21,-0.016368417,0.197208156,0.006982442,0.525522179
2013/2/22,0.006994431,0.214548596,-0.058111302,0.546781961
2013/2/25,0.00309982,0.209593242,0.086897392,0.451053027
2013/2/26,-0.013453597,0.146348534,-0.132892717,0.522168192
2013/2/27,0.008802628,0.208784156,0.440387666,-0.147859266
2013/2/28,0.005506572,0.232907359,0.145340242,0.355177693
2013/3/1,0.00279291,0.332211936,0.590273481,-0.153898777
2013/3/4,-0.005182251,0.346332337,0.193724539,0.57083171
2013/3/5,0.013511371,0.2987088,0.109216994,0.629439855
2013/3/6,-0.000670317,0.239252519,0.138647259,0.396137326
2013/3/7,0.001790655,0.345478395,0.41000583,0.221506812
2013/3/8,0.00687473,0.237071334,0.527062113,-0.128760232
2013/3/11,0.003087656,0.228831298,0.362541943,0.107892974
2013/3/12,0.001074207,0.249811964,0.194301509,0.236211374
2013/3/13,-0.004482725,0.215127946,0.370386955,0.018048202
2013/3/14,0.007364622,0.453125776,0.494827859,0.462450818
2013/3/15,-0.006107987,0.340510369,0.186999563,0.59955687
2013/3/18,-0.004901316,0.307526214,-0.171457126,0.615528409
2013/3/19,-0.002573796,0.270680631,-0.049502333,0.681065246
2013/3/20,-0.001339131,0.409820333,0.102707687,0.877879992
2013/3/21,-0.006887031,0.258569564,0.296626838,0.380614928
2013/3/22,0.000658774,0.207242267,-0.095497138,0.548078829
2013/3/25,-0.002251953,0.24760423,0.207606124,0.276988273
2013/3/26,0.003285401,0.218077721,-0.454277894,1.1597183
2013/3/27,-0.001847199,0.161439147,0.088975885,0.294207124
2013/3/28,0.003778336,0.08292459,-0.056467111,0.253309628
2013/4/2,0.012233536,0.252609623,0.143849103,0.385765262
2013/4/3,-0.01090249,0.169012402,0.224685208,-0.022754755
2013/4/4,-0.011933331,0.346185462,0.444181523,0.270369873
2013/4/5,-0.014982137,0.35700759,0.212040276,0.572114854
2013/4/8,0.004336337,0.546054639,0.826498292,0.059653076
2013/4/9,0.005761663,0.523791436,0.585199543,0.463303873
2013/4/10,0.01167834,0.305354169,0.344772043,0.234589902
2013/4/11,0.004494088,0.29952368,-0.020409683,0.532181858
2013/4/12,-0.004960742,0.18482602,0.031260645,0.223505405
2013/4/15,-0.006409518,0.182614448,0.348097153,-0.066687957
2013/4/16,-0.006170077,0.2085443,0.075253405,0.223421233
2013/4/17,-0.009621719,0.172285856,-0.082748024,0.140649623
2013/4/18,-8.65E-05,0.215448887,0.160148905,0.240067023
2013/4/19,0.006850643,0.417637446,0.119916649,0.911384313
2013/4/22,-0.000950092,0.271777286,0.090445904,0.623801027
2013/4/23,0.019785082,0.191377465,-0.086336948,0.615019206
2013/4/24,0.003994434,0.151225526,-0.166319771,0.485944376
2013/4/25,0.001682415,0.248323031,-0.213710512,1.101510596
2013/4/26,-0.002513015,0.274310668,0.455834567,0.111893208
2013/4/29,0.004905151,0.271245972,0.060830703,0.583217101
2013/4/30,-0.004329569,0.310787368,0.432458411,0.02659445
2013/5/1,0.00328691,0.338892011,0.080009028,0.683849971
2013/5/2,0.001459108,0.304322509,0.30594036,0.342546444
2013/5/3,0.009359058,0.255868304,0.055267168,0.640913562
2013/5/7,0.005480656,0.392732708,0.44911028,0.33366596
2013/5/8,0.003984548,0.330482596,0.562271732,-0.055745513
2013/5/9,0.001405563,0.328258162,0.539074756,-0.026091356
2013/5/10,0.004878309,0.32979693,0.179938764,0.175544927
2013/5/13,0.001022876,0.317113923,0.28415657,0.174710041
2013/5/14,0.008154533,0.357083961,0.422984889,0.122912327
2013/5/15,0.001119614,0.250232847,-0.068480911,0.394946656
2013/5/16,-0.000859405,0.236352079,-0.230666901,0.314724225
2013/5/17,0.005258437,0.079708279,-0.297391236,0.363293051
2013/5/20,0.004832823,0.154506398,-0.22362104,0.59248637
2013/5/21,0.007115337,0.108606997,0.028594763,0.219247844
2013/5/22,0.005335637,0.179112056,0.130818914,0.349657422
2013/5/23,-0.021198897,0.162626902,0.299693441,0.183184975
2013/5/24,-0.006359034,0.190872634,-0.4401475,0.994619018
2013/5/28,0.01605091,0.276795543,0.250168554,0.490404611
2013/5/29,-0.020142318,0.239731114,-0.005801633,0.607151146
2013/5/30,0.004489565,0.299704,-0.099052178,0.632211901
2013/5/31,-0.01116319,0.335316349,0.192060274,0.52888537
2013/6/3,-0.008844896,0.508327626,0.647416851,0.419663
2013/6/4,0.005114772,0.393225329,0.399024192,0.443342409
2013/6/5,-0.021463481,0.481641469,0.772214256,0.199346515
2013/6/6,-0.01304562,0.462299791,0.468175447,0.513140471
