Date,log_returns,QPLp1,QPLp21,QPLn1,QPLn21
2013/2/1,0.011147031,6288.236891,7318.948415,6265.54362,5383.180793
2013/2/4,-0.015944337,6358.724195,7400.989367,6335.776546,5443.52297
2013/2/5,0.005733638,6258.142539,7283.921266,6235.557874,5357.417874
2013/2/6,0.002000303,6294.12753,7325.804595,6271.413001,5388.223602
2013/2/7,-0.010686988,6306.730291,7340.473088,6283.970281,5399.012467
2013/2/8,0.005685095,6239.689211,7262.443234,6217.171142,5341.620505
2013/2/11,0.002093934,6275.26346,7303.848496,6252.617009,5372.074608
2013/2/12,0.009721497,6288.417216,7319.158298,6265.723295,5383.335165
2013/2/13,0.003265215,6349.848164,7390.658457,6326.932548,5435.924452
2013/2/14,-0.005005343,6370.615671,7414.829988,6347.625109,5453.702925
2013/2/15,0.000142229,6338.808225,7377.80895,6315.932451,5426.473475
2013/2/18,-0.001592542,6339.709854,7378.858366,6316.830825,5427.245333
2013/2/19,0.009589544,6329.621634,7367.116575,6306.779012,5418.609095
2013/2/20,0.002551972,6390.611785,7438.103686,6367.54906,5470.821029
2013/2/21,-0.016368417,6406.941277,7457.109762,6383.819621,5484.800243
2013/2/22,0.006994431,6302.923415,7336.042223,6280.177144,5395.753509
2013/2/25,0.00309982,6347.163315,7387.533532,6324.257388,5433.626029
2013/2/26,-0.013453597,6366.868904,7410.469085,6343.891863,5450.495424
2013/2/27,0.008802628,6281.785239,7311.439266,6259.115251,5377.657717
2013/2/28,0.005506572,6337.325548,7376.083245,6314.455124,5425.204196
2013/3/1,0.00279291,6372.318747,7416.812217,6349.322038,5455.160879
2013/3/4,-0.005182251,6390.140935,7437.555658,6367.079909,5470.417948
2013/3/5,0.013511371,6357.111282,7399.11208,6334.169454,5442.142201
2013/3/6,-0.000670317,6443.587462,7499.762662,6420.333556,5516.172
2013/3/7,0.001790655,6439.269664,7494.737129,6416.03134,5512.475656
2013/3/8,0.00687473,6450.810507,7508.169644,6427.530534,5522.355444
2013/3/11,0.003087656,6495.310877,7559.964117,6471.870309,5560.450945
2013/3/12,0.001074207,6515.397154,7583.342756,6491.884098,5577.646235
2013/3/13,-0.004482725,6522.399802,7591.493215,6498.861473,5583.641002
2013/3/14,0.007364622,6493.227114,7557.538802,6469.794066,5558.667094
2013/3/15,-0.006107987,6541.223799,7613.402673,6517.617538,5599.755691
2013/3/18,-0.004901316,6501.39186,7567.04184,6477.929346,5565.656701
2013/3/19,-0.002573796,6469.60445,7530.044122,6446.256652,5538.444404
2013/3/20,-0.001339131,6452.974416,7510.688241,6429.686633,5524.207904
2013/3/21,-0.006887031,6444.338819,7500.637175,6421.082201,5516.815215
2013/3/22,0.000658774,6400.108938,7449.157527,6377.011938,5478.951271
2013/3/25,-0.002251953,6404.326555,7454.066458,6381.214335,5482.561854
2013/3/26,0.003285401,6389.920537,7437.299135,6366.860306,5470.229271
2013/3/27,-0.001847199,6410.948515,7461.77383,6387.812397,5488.230725
2013/3/28,0.003778336,6399.117146,7448.00317,6376.023726,5478.102227
2013/4/2,0.012233536,6423.340896,7476.19746,6400.160056,5498.83949
2013/4/3,-0.01090249,6502.403687,7568.219517,6478.937522,5566.522898
2013/4/4,-0.011933331,6431.896347,7486.155244,6408.684632,5506.163569
2013/4/5,-0.014982137,6355.59855,7397.351394,6332.662181,5440.847194
2013/4/8,0.004336337,6261.087858,7287.349356,6238.492564,5359.939278
2013/4/9,0.005761663,6288.296999,7319.018376,6265.603512,5383.23225
2013/4/10,0.01167834,6324.632623,7361.309811,6301.808006,5414.338145
2013/4/11,0.004494088,6398.926803,7447.781627,6375.83407,5477.939279
2013/4/12,-0.004960742,6427.748857,7481.327934,6404.552109,5502.61302
2013/4/15,-0.006409518,6395.941411,7444.306896,6372.859452,5475.38357
2013/4/16,-0.006170077,6355.077609,7396.745065,6332.14312,5440.401231
2013/4/17,-0.009621719,6315.987009,7351.247084,6293.193593,5406.93688
2013/4/18,-8.65E-05,6255.50778,7280.854642,6232.932624,5355.162332
2013/4/19,0.006850643,6254.966803,7280.224992,6232.393599,5354.699217
2013/4/22,-0.000950092,6297.964459,7330.27044,6275.236084,5391.508288
2013/4/23,0.019785082,6291.983658,7323.309318,6269.276866,5386.388294
2013/4/24,0.003994434,6417.710727,7469.644445,6394.550206,5494.019663
2013/4/25,0.001682415,6443.397118,7499.541119,6420.143899,5516.009052
2013/4/26,-0.002513015,6454.246713,7512.169082,6430.954339,5525.297082
2013/4/29,0.004905151,6438.047457,7493.314588,6414.813543,5511.429359
2013/4/30,-0.004329569,6469.704631,7530.160724,6446.356472,5538.530166
2013/5/1,0.00328691,6441.754151,7497.628851,6418.506861,5514.602554
2013/5/2,0.001459108,6462.962454,7522.31343,6439.638627,5532.75838
2013/5/3,0.009359058,6472.399498,7533.297309,6449.041614,5540.837165
2013/5/7,0.005480656,6533.259415,7604.132838,6509.681896,5592.937608
2013/5/8,0.003984548,6569.164261,7645.922886,6545.457167,5623.674726
2013/5/9,0.001405563,6595.391629,7676.449209,6571.589884,5646.12723
2013/5/10,0.004878309,6604.668383,7687.246526,6580.83316,5654.068796
2013/5/13,0.001022876,6636.966715,7724.838912,6613.014933,5681.71848
2013/5/14,0.008154533,6643.758983,7732.744507,6619.782688,5687.533147
2013/5/15,0.001119614,6698.157229,7796.059227,6673.984619,5734.101938
2013/5/16,-0.000859405,6705.660781,7804.792694,6681.461092,5740.525516
2013/5/17,0.005258437,6699.900377,7798.088096,6675.721477,5735.594198
2013/5/20,0.004832823,6735.224174,7839.201854,6710.917795,5765.833896
2013/5/21,0.007115337,6767.853103,7877.179025,6743.428972,5793.766595
2013/5/22,0.005335637,6816.180385,7933.427683,6791.581848,5835.138206
2013/5/23,-0.021198897,6852.646244,7975.870699,6827.916108,5866.355591
2013/5/24,-0.006359034,6708.906643,7808.570589,6684.695241,5743.304206
2013/5/28,0.01605091,6666.379837,7759.07317,6642.321907,5706.898217
2013/5/29,-0.020142318,6774.244647,7884.618214,6749.79745,5799.238213
2013/5/30,0.004489565,6639.160678,7727.392489,6615.200978,5683.596669
2013/5/31,-0.01116319,6669.034632,7762.163114,6644.967121,5709.170911
2013/6/3,-0.008844896,6595.000923,7675.994463,6571.200589,5645.792758
2013/6/4,0.005114772,6536.926037,7608.40046,6513.335286,5596.076499
2013/6/5,-0.021463481,6570.446577,7647.415387,6546.734855,5624.77248
2013/6/6,-0.01304562,6430.924592,7485.024208,6407.716384,5505.331677
2013/6/7,0.01190466,6347.574057,7388.011598,6324.666648,5433.977654
2013/6/10,-0.001801375,6423.591348,7476.488964,6400.409604,5499.053895
2013/6/11,-0.009476914,6412.030469,7463.033128,6388.890446,5489.156955
2013/6/12,-0.006429059,6351.55124,7392.640686,6328.629478,5437.382407
2013/6/13,0.000821956,6310.847727,7345.265417,6288.072858,5402.537287
2013/6/14,0.000575602,6316.037099,7351.305385,6293.243502,5406.979761
2013/6/17,0.003517757,6319.673667,7355.538027,6296.866946,5410.092924
2013/6/18,0.006882519,6341.943889,7381.458583,6319.056798,5429.157827
2013/6/19,-0.003991193,6385.742992,7432.436844,6362.697837,5466.652994
2013/6/20,-0.03027174,6360.307053,7402.831674,6337.353693,5444.87801
2013/6/21,-0.007061145,6170.654531,7182.093007,6148.385597,5282.521878
2013/6/24,-0.014338338,6127.236115,7131.557833,6105.123871,5245.352607
2013/6/25,0.012004091,6040.008577,7030.032738,6018.211124,5170.679592
2013/6/26,0.010364156,6112.950314,7114.930431,6090.889625,5233.122939
2013/6/27,0.012558913,6176.635332,7189.054128,6154.344815,5287.641873
2013/6/28,-0.00448356,6254.696315,7279.910168,6232.124087,5354.46766
2013/7/1,0.014742447,6226.71578,7247.343315,6204.24453,5330.51432
2013/7/2,-0.000608957,6319.192799,7354.978339,6296.387813,5409.681266
2013/7/3,-0.011819369,6315.345851,7350.500834,6292.554749,5406.388003
2013/7/4,0.030322743,6241.141835,7264.133959,6218.618523,5342.864055
2013/7/5,-0.007212552,6433.288862,7487.776008,6410.072122,5507.355661
2013/7/8,0.011625327,6387.055362,7433.964326,6364.005471,5467.776477
2013/7/9,0.009721479,6461.740247,7520.890889,6438.42083,5531.712083
2013/7/10,-0.0012475,6524.864252,7594.361616,6501.317031,5585.750749
2013/7/11,0.005893473,6516.729561,7584.893559,6493.211696,5578.786871
2013/7/12,0.000233796,6555.249129,7629.72691,6531.592253,5611.762378
2013/7/15,0.006270654,6556.781897,7631.510916,6533.11949,5613.074537
2013/7/16,-0.00452884,6598.026387,7679.515834,6574.215134,5648.382772
2013/7/17,0.002373503,6568.212542,7644.81517,6544.508883,5622.859987
2013/7/18,0.009454656,6583.820731,7662.981713,6560.060744,5636.221714
2013/7/19,-0.00055635,6646.363687,7735.776151,6622.377992,5689.76296
2013/7/22,-0.001131748,6642.66701,7731.473549,6618.694657,5686.59834
2013/7/23,-0.003892412,6635.153441,7722.728422,6611.208202,5680.166187
2013/7/24,0.003478628,6609.376887,7692.726806,6585.524672,5658.099612
2013/7/25,-0.0049181,6632.408483,7719.533535,6608.473151,5677.816307
2013/7/26,-0.005046143,6599.869716,7681.661305,6576.051811,5649.960794
2013/7/29,0.000832632,6566.649719,7642.996183,6542.9517,5621.522099
2013/7/30,0.001629707,6572.119598,7649.362636,6548.401839,5626.204707
2013/7/31,0.007597059,6582.838958,7661.839017,6559.082514,5635.381246
2013/8/1,0.009158873,6633.039623,7720.268126,6609.102013,5678.356608
2013/8/2,-0.005117848,6694.069847,7791.301878,6669.911988,5730.602847
2013/8/5,-0.004264579,6659.898131,7751.52904,6635.863593,5701.349412
2013/8/6,-0.002324599,6631.556945,7718.542421,6607.624686,5677.087329
2013/8/7,-0.014182018,6616.159136,7700.62074,6592.282445,5663.905703
2013/8/8,0.002832631,6522.990869,7592.181165,6499.450408,5584.146999
2013/8/9,0.008191873,6541.494287,7613.717498,6517.88705,5599.987249
2013/8/12,-0.001375617,6595.301466,7676.344268,6571.500047,5646.050044
2013/8/13,0.005702913,6586.235091,7665.791814,6562.466392,5638.288579
2013/8/14,-0.003713818,6623.903122,7709.634051,6599.998484,5670.535109
2013/8/15,-0.015927478,6599.348775,7681.054976,6575.53275,5649.514831
2013/8/16,0.002564829,6495.070443,7559.684273,6471.630743,5560.245116
2013/8/19,-0.005284717,6511.750568,7579.098455,6488.250672,5574.524497
2013/8/20,-0.0018995,6477.428581,7539.150714,6454.052547,5545.142419
2013/8/21,-0.009750706,6465.136381,7524.843686,6441.804707,5534.619416
2013/8/22,0.008729027,6402.403081,7451.827706,6379.297803,5480.915222
2013/8/23,0.006991311,6458.534457,7517.159635,6435.226609,5528.967697
2013/8/27,-0.007906903,6503.846293,7569.898581,6480.374922,5567.757871
2013/8/28,-0.00169528,6452.623782,7510.280135,6429.337265,5523.907737
2013/8/29,0.008207209,6441.694043,7497.55889,6418.446969,5514.551097
2013/8/30,-0.010874814,6494.779919,7559.346128,6471.341266,5559.996406
2013/9/2,0.014437767,6424.533049,7477.58502,6401.347907,5499.860059
2013/9/3,-0.005823703,6517.961786,7586.32776,6494.439474,5579.841744
2013/9/4,0.000978124,6480.11343,7542.27564,6456.727707,5547.440842
2013/9/5,0.008872081,6486.454883,7549.656527,6463.046275,5552.86958
2013/9/6,0.002276799,6544.259281,7616.935704,6520.642065,5602.354281
2013/9/9,-0.002537073,6559.176222,7634.297697,6535.505173,5615.12425
2013/9/10,0.008120685,6542.556205,7614.953476,6518.945136,5600.896326
2013/9/11,0.000674136,6595.902551,7677.043878,6572.098963,5646.564617
2013/9/12,8.35E-05,6600.350585,7682.220993,6576.530944,5650.372451
2013/9/13,-0.00078647,6600.90158,7682.862302,6577.079951,5650.844143
2013/9/16,0.005915215,6595.712208,7676.822335,6571.909306,5646.401669
2013/9/17,-0.007987593,6634.84288,7722.366956,6610.898762,5679.900324
2013/9/18,-0.001728999,6582.057547,7660.929524,6558.303923,5634.712302
2013/9/19,0.010098529,6570.687011,7647.695231,6546.974422,5624.978309
2013/9/20,-0.004380644,6637.377457,7725.316979,6613.424193,5682.070104
2013/9/23,-0.005938986,6608.365059,7691.549129,6584.516496,5657.233415
2013/9/24,0.002146422,6569.234387,7646.004507,6545.52704,5623.73476
2013/9/25,-0.00303742,6583.349881,7662.433685,6559.591593,5635.818632
2013/9/26,0.002143764,6563.383821,7639.194968,6539.697588,5618.726256
2013/9/27,-0.008094399,6577.46926,7655.589166,6553.732195,5630.7844
2013/9/30,-0.007775063,6524.443493,7593.871889,6500.897789,5585.390548
2013/10/1,-0.000342046,6473.91223,7535.057995,6450.548886,5542.132172
2013/10/2,-0.0034906,6471.698232,7532.481097,6448.342878,5540.23683
2013/10/3,0.001791017,6449.147504,7506.234056,6425.873532,5520.931794
2013/10/4,0.000750218,6460.708384,7519.689892,6437.39269,5530.828734
2013/10/7,-0.00257541,6465.557141,7525.333414,6442.223949,5534.979617
2013/10/8,-0.011161467,6448.927106,7505.977532,6425.653929,5520.743117
2013/10/9,-0.004395563,6377.34783,7422.665622,6354.332972,5459.466134
