Date,log_returns,QHL,QHLp,QHLm
2011/2/1,0.00151757,0.24644442,-0.059977851,0.618160729
2011/2/2,0.017978658,0.349615153,0.063624868,0.683048525
2011/2/7,-0.014975034,0.233451177,0.339834718,0.157291462
2011/2/8,-0.002946138,0.287202277,0.112068634,0.539447782
2011/2/9,-0.013731468,0.245981435,0.320123175,0.130077781
2011/2/10,-0.019856056,0.201670238,0.149878736,0.232666245
2011/2/11,0.005283565,0.377664793,0.304970597,0.39929114
2011/2/14,0.012715737,0.33860844,0.278271245,0.292340405
2011/2/15,-0.009616587,0.224652598,-0.343101322,0.348072941
2011/2/16,0.011168512,0.260905951,0.006332788,0.562769992
2011/2/17,0.006236512,0.436545254,0.464611338,0.44565267
2011/2/18,0.012512669,0.458091179,0.249258685,0.788039866
2011/2/21,-0.004665194,0.440672255,0.287368044,0.606268073
2011/2/22,-0.021285232,0.377542346,0.551413425,0.226563615
2011/2/23,-0.003656396,0.349136095,0.293809522,0.398065008
2011/2/24,-0.013442252,0.306764443,0.535056421,0.154416693
2011/2/25,0.018035975,0.390625817,-0.254890528,0.864026251
2011/2/28,0.014051893,0.513439473,-0.053496103,0.94760497
2011/3/1,0.002499229,0.481525995,0.070411504,0.768643673
2011/3/2,-0.014975386,0.36761108,-0.209430779,0.867086424
2011/3/3,0.003195076,0.49347842,-0.039481318,1.05738079
2011/3/4,0.012311874,0.516119691,-0.034551,1.044063085
2011/3/7,-0.004095288,0.417830236,0.146750573,0.671070286
2011/3/8,0.016949302,0.260181545,0.09972234,0.475931921
2011/3/9,0.004141683,0.145818321,0.208912248,0.132521015
2011/3/10,-0.008232835,0.067980874,-0.177869784,0.256253962
2011/3/11,-0.015581776,0.181016612,0.367418773,-0.039666457
2011/3/14,0.004124854,0.286483598,0.187453193,0.350756714
2011/3/15,-0.029014208,0.191919565,0.025427068,0.222851919
2011/3/16,0.000997375,0.276040789,0.436680636,0.054231914
2011/3/17,-0.018515462,0.300989169,0.39426468,0.244209665
2011/3/18,0.000708764,0.287833017,0.340710508,0.202107317
2011/3/21,0.017116619,0.267772686,-0.420564329,0.672334403
2011/3/22,0.00758318,0.312580301,-0.117954821,0.729684638
2011/3/23,-0.00142284,0.354904226,0.344242928,0.475328222
2011/3/24,0.003929986,0.332844443,0.215409392,0.536722967
2011/3/25,0.010565288,0.346741712,-0.041229923,0.90036347
2011/3/28,-0.003914612,0.403231344,0.175176973,0.716701603
2011/3/29,-0.000339486,0.343723916,0.159342247,0.59549707
2011/3/30,0.016816348,0.272422687,0.344848408,0.377130176
2011/3/31,0.003239326,0.4265437,-0.193464341,1.165805394
2011/4/1,0.01159461,0.670547044,-0.082368888,1.334333281
2011/4/4,0.014542987,0.550366963,0.162327739,0.91727481
2011/4/6,0.005552538,0.476949149,0.191479385,0.764920166
2011/4/7,-0.000133836,0.365649081,0.208584301,0.480603441
2011/4/8,0.004694955,0.225965695,0.045888323,0.383644009
2011/4/11,-0.003819374,0.245897421,0.227138361,0.176926926
2011/4/12,-0.013533918,0.24149785,0.175974582,0.277913885
2011/4/13,0.00659555,0.101803753,0.027109964,0.0992561
2011/4/14,-0.005027319,0.180477819,0.032557718,0.222589509
2011/4/15,-0.00024697,0.247158861,0.500730223,-0.069165255
2011/4/18,-0.007431724,0.267264285,0.236995769,0.321074581
2011/4/19,-0.013080817,0.265211694,0.001416642,0.394565951
2011/4/20,0.015837782,0.223575693,0.218646946,0.171310399
2011/4/21,0.010084939,0.262681307,0.100278948,0.391920701
2011/4/26,-0.005438922,0.194510487,0.355329787,0.12189482
2011/4/27,-0.004782451,0.15809797,-0.34205186,0.646016295
2011/4/28,-0.003656725,0.284998157,-0.330073134,0.965533722
2011/4/29,-0.003569385,0.449574033,0.244947783,0.743465959
2011/5/3,-0.003698103,0.434242923,0.07402612,1.218069922
2011/5/4,-0.013547395,0.474580706,0.065704628,1.203919408
2011/5/5,-0.002302862,0.56003667,0.175594999,0.977318624
2011/5/6,-0.004414843,0.537449653,0.257237563,0.962544462
2011/5/9,0.007607714,0.411444606,0.423440079,0.415760067
2011/5/11,-0.001895865,0.38433617,0.234259277,0.50892261
2011/5/12,-0.009405326,0.342287761,0.043057355,0.623565672
2011/5/13,0.008738346,0.432430336,0.275578407,0.556074542
2011/5/16,-0.013653377,0.417225378,0.033537843,0.729599117
2011/5/17,-0.002596939,0.352110337,0.145637643,0.46545606
2011/5/18,0.004794375,0.263288704,-0.028137092,0.429864307
2011/5/19,0.006594137,0.249303712,0.287671159,0.25042678
2011/5/20,0.001553402,0.271115623,0.31798664,0.174103326
2011/5/23,-0.021275716,0.139874164,-0.084607704,0.196877532
2011/5/24,0.000869684,0.088685712,-0.260357923,0.301127696
2011/5/25,0.000725625,0.108258586,0.249307131,-0.020471692
2011/5/26,0.00672583,0.249002395,0.273884037,0.235618937
2011/5/27,0.009443155,0.287118676,0.182791211,0.45776307
2011/5/30,0.002861625,0.285646864,0.249814487,0.485020769
2011/5/31,0.021329015,0.334716822,0.081075077,0.744015314
2011/6/1,-0.002439203,0.345815478,0.1796115,0.808445202
2011/6/2,-0.015895721,0.306327917,-0.357655176,1.327585691
2011/6/3,-0.013171515,0.504439273,-0.046582839,1.146198566
2011/6/7,-0.003530913,0.563152079,0.203380817,0.973717042
2011/6/8,-0.009094666,0.481144296,0.120551269,0.89331523
2011/6/9,-0.002288418,0.414198293,0.333758632,0.478733721
2011/6/10,-0.008414847,0.371092725,0.337967655,0.477939073
2011/6/13,0.003904435,0.408044023,0.34608973,0.521514154
2011/6/14,-0.00053684,0.39466665,0.459604425,0.275663047
2011/6/15,-0.006789981,0.331522292,0.262280219,0.361532438
2011/6/16,-0.01763872,0.426968598,-0.013750953,0.686657918
2011/6/17,-0.011815012,0.439005929,0.779460743,0.313641332
2011/6/20,-0.004423174,0.402216314,0.540497556,0.346668699
2011/6/21,0.011557294,0.326583218,-0.145497864,0.552887354
2011/6/22,0.000429187,0.11887744,-0.383160247,0.490188277
2011/6/23,-0.004623211,0.153276162,-0.066837884,0.256335196
2011/6/24,0.018794077,0.200539712,-0.033881361,0.347492136
2011/6/27,-0.005888687,0.169547805,-0.230973485,0.629744768
2011/6/28,0.00090741,0.253445807,-0.235464115,0.892028509
2011/6/29,-2.72E-05,0.259338048,0.261459392,0.697481424
2011/6/30,0.015156631,0.267081613,0.188001126,0.578504871
2011/7/4,0.016488387,0.296126236,0.065221236,0.894708655
2011/7/5,-0.00098949,0.403222633,0.224683911,0.613470242
2011/7/6,-0.010180026,0.471433124,0.30513528,0.488578802
2011/7/7,0.000560739,0.235827042,0.172162333,0.26681949
2011/7/8,0.008672821,0.238303431,0.092677451,0.227667723
2011/7/11,-0.016826188,0.287641249,0.022630618,0.597034624
2011/7/12,-0.031089254,0.424083507,0.650594493,0.495949048
2011/7/13,0.012100159,0.451846444,0.231712511,0.564660902
2011/7/14,0.000607289,0.493550139,0.249724791,0.54843148
2011/7/15,-0.002958767,0.54957213,0.266378513,0.751369244
2011/7/18,-0.003233968,0.507038339,1.206382436,0.297634477
2011/7/19,0.004468384,0.456251827,1.119178733,0.014083167
2011/7/20,0.004613947,0.362176972,0.164572147,0.396042198
2011/7/21,-0.000745607,0.365223488,0.245177884,0.39051271
2011/7/22,0.020594402,0.236081606,0.398800757,0.094373399
2011/7/25,-0.006773225,0.168484785,-0.25928289,0.553555324
2011/7/26,0.012428008,0.172261692,-0.210369605,0.877827013
2011/7/27,-0.001347261,0.246094772,-0.211841502,1.045070217
2011/7/28,0.001287894,0.332116025,-0.111921747,1.252189352
2011/7/29,-0.005798156,0.379516055,0.450190964,0.910429944
2011/8/1,0.009893743,0.273511669,-0.04992334,1.026811958
2011/8/2,-0.010731429,0.371003513,-0.016217151,0.775398557
2011/8/3,-0.019307046,0.310297914,0.257048486,0.240987671
2011/8/4,-0.004921899,0.261399205,0.349312729,0.102285023
2011/8/5,-0.043835209,0.520716125,0.459842614,0.536835259
2011/8/8,-0.021989601,0.598316664,0.213722607,0.868988506
2011/8/9,-0.058270275,0.568638849,0.904838559,0.554901581
2011/8/10,0.023162344,0.502632021,0.369981625,0.642658529
2011/8/11,-0.009575274,0.243127248,-0.273894282,0.747124255
2011/8/12,0.001268388,0.313528628,-0.34952052,0.947881692
2011/8/15,0.032103471,0.40730597,1.162896992,0.472581609
2011/8/16,-0.002372989,0.420961805,0.439906937,0.740694131
2011/8/17,0.0037999,0.465893595,0.014470933,0.764824715
2011/8/18,-0.013534903,0.522136263,0.295949199,0.558358493
2011/8/19,-0.0312765,0.530369805,0.309651871,0.648591892
2011/8/22,0.004471963,0.472257834,0.507769183,0.596205479
2011/8/23,0.019748421,0.347370125,-0.296195915,1.454589867
2011/8/24,-0.02077939,0.374519107,-0.658370476,1.697735516
2011/8/25,0.014569116,0.351547422,0.343475982,1.176044212
2011/8/26,-0.008623338,0.299432271,0.109352551,0.998440028
2011/8/29,0.014309211,0.438090134,-0.02987092,1.29167005
2011/8/30,0.016924092,0.555625655,0.134353872,1.094556653
2011/8/31,0.016234424,0.503873731,0.312584692,0.681390911
2011/9/1,0.002455243,0.462034996,0.333361407,0.715546975
2011/9/2,-0.018257177,0.485076615,1.001826003,0.126334805
2011/9/5,-0.029955558,0.439060892,0.354341152,0.405440996
2011/9/6,0.004785538,0.399117314,1.742979853,-0.218975895
2011/9/7,0.016977909,0.35159973,0.345930586,0.557095536
2011/9/8,-0.006765653,0.505187288,0.709569493,0.458439456
2011/9/9,-0.002322306,0.345728246,0.169594034,0.646377187
2011/9/12,-0.042996383,0.327102039,1.16804339,0.548188695
2011/9/14,0.000782646,0.218562013,0.403660297,0.322013369
2011/9/15,0.00711857,0.050192498,-1.011162015,0.655129259
2011/9/16,0.014173768,0.113168314,-0.626053845,0.44926971
2011/9/19,-0.028008834,0.321426267,0.157063249,0.352148623
2011/9/20,0.005106417,0.462436553,0.362497,0.654422328
2011/9/21,-0.010075941,0.492692172,0.450708525,1.382689914
2011/9/22,-0.049673595,0.58023621,-0.16726359,1.623726637
2011/9/23,-0.013666018,0.582055224,-0.226491577,1.623609167
2011/9/26,-0.014883689,0.654116202,0.374092709,1.142054109
2011/9/27,0.040679979,0.541294101,0.36917974,0.861816107
2011/9/28,-0.006612347,0.61589878,0.130791696,1.104579646
2011/9/30,-0.023518455,0.486149734,1.056974801,0.115825108
2011/10/3,-0.044771089,0.423610808,0.001747203,0.773352152
2011/10/4,-0.034586946,0.566875227,0.792771444,0.440884722
2011/10/6,0.055186932,0.546040524,0.464308487,0.585061898
2011/10/7,0.030664151,0.337245378,0.947158159,0.231680798
2011/10/10,0.000228697,0.318575302,0.446739951,0.218789469
2011/10/11,0.024017789,0.207487286,0.670705011,-0.248097903
2011/10/12,0.010302509,0.154759723,0.488049301,-0.283689415
2011/10/13,0.023100598,0.170816174,0.995188966,-0.082935348
2011/10/14,-0.013742715,0.20882633,0.491972521,0.256273066
2011/10/17,0.0199173,0.265628401,-0.122284339,0.555335626
2011/10/18,-0.043174244,0.25332605,-0.148615516,0.594212529
2011/10/19,0.012794219,0.311971683,-0.047642298,0.482456212
2011/10/20,-0.01797233,0.331068069,-0.176530147,0.686834574
2011/10/21,0.002367199,0.266824592,-0.048942843,0.984216983
2011/10/24,0.040557182,0.338309421,-0.23066437,1.133450773
2011/10/25,0.010407084,0.506228211,0.183592264,1.109437487
2011/10/26,0.005171074,0.673749549,0.500716118,1.111032083
2011/10/27,0.032109901,0.670119294,0.450846689,1.062661565
2011/10/28,0.016648944,0.72838149,0.225649863,1.313615164
2011/10/31,-0.007740966,0.564457324,0.194894562,0.841473482
2011/11/1,-0.025229433,0.582489033,0.324976591,0.833420984
2011/11/2,0.018604929,0.594236127,0.947429077,0.256208682
2011/11/3,-0.025206966,0.512367789,0.705168767,0.432728271
2011/11/4,0.030719343,0.39882672,1.5458155,-0.315408588
2011/11/7,-0.008345047,0.205678581,0.193960145,0.195198925
2011/11/8,2.95E-05,0.288004873,0.335647358,0.285208907
2011/11/9,0.016928369,0.207724819,-0.440249346,0.586377307
2011/11/10,-0.053916869,0.226291835,0.83461759,0.027340308
2011/11/11,0.009095873,0.208968872,0.515418969,0.147257575
2011/11/14,0.019201348,0.121288954,0.161513207,0.029539517
2011/11/15,-0.008222069,0.16238152,0.349362232,-0.008198535
2011/11/16,-0.020232832,0.27081163,0.618725828,0.107971531
2011/11/17,-0.00759327,0.215810538,-0.027014134,0.789676773
2011/11/18,-0.017489128,0.311746616,0.093835888,1.034197897
2011/11/21,-0.01445565,0.349195995,0.283218197,0.929600385
2011/11/22,0.001411283,0.352287142,-0.001637429,1.062048455
2011/11/23,-0.021440615,0.416810821,0.176754781,0.598935716
2011/11/24,0.003948102,0.301156617,-0.127759621,0.663406466
2011/11/25,-0.013789574,0.39691649,-0.124917372,0.838408864
2011/11/28,0.019499998,0.407252644,0.710485194,0.187710807
2011/11/29,0.012034638,0.473319803,0.029971885,0.796126135
2011/11/30,-0.014724832,0.561837818,0.307550616,0.847199511
2011/12/1,0.054778003,0.537874997,0.005224794,1.009772257
2011/12/2,0.002004593,0.447172432,0.693275361,0.460806892
2011/12/5,0.007289394,0.491762422,0.448488133,0.552140948
2011/12/6,-0.012458086,0.41999812,0.336748574,0.347230797
2011/12/7,0.015627769,0.329019586,0.141673378,0.374923819
2011/12/8,-0.006924438,0.234899292,0.904935617,-0.381999752
2011/12/9,-0.027676168,0.123789449,0.397083482,-0.066720854
2011/12/12,-0.000568862,0.157551092,-0.01635385,0.312897145
2011/12/13,-0.00694115,0.191851636,0.361554979,-0.021332251
2011/12/14,-0.005040009,0.301654433,0.298826534,0.24303041
2011/12/15,-0.018009204,0.361396949,0.448180993,0.287554962
2011/12/16,0.014240622,0.332840891,0.754956456,-0.063762248
2011/12/19,-0.011837654,0.348172429,0.626988189,0.174880215
2011/12/20,0.000552691,0.440804266,0.614283076,0.536435286
2011/12/21,0.01842687,0.382297349,0.649408792,0.47222008
2011/12/22,-0.002077475,0.367084347,0.206968927,0.556227797
2011/12/23,0.01356182,0.412644478,0.20139973,0.645023058
2011/12/28,-0.005949219,0.375160842,0.407918603,0.372389122
2011/12/29,-0.006541798,0.432536613,-0.01944568,0.711711503
2011/12/30,0.001980327,0.415970391,0.150430551,0.59622848
2012/1/3,0.023748027,0.320795429,-0.145933184,0.81506062
2012/1/4,-0.007983083,0.301714002,0.550145645,0.133767706
2012/1/5,0.004587027,0.263512193,0.111475833,0.446679467
2012/1/6,-0.011781521,0.275974585,0.054807137,0.475834382
2012/1/9,0.014558126,0.324484809,-0.199099472,0.670583392
2012/1/10,0.007317698,0.354326592,0.47443177,0.220662573
2012/1/11,0.007739799,0.465533714,0.644360829,0.64452109
2012/1/12,-0.002957595,0.43313629,0.499353991,0.251798348
2012/1/13,0.00569404,0.317726602,0.538950372,0.017248172
2012/1/16,-0.010059583,0.26216591,0.669477556,-0.366119335
2012/1/17,0.031863503,0.221283676,0.581262713,-0.140397
2012/1/18,0.003010075,0.284052856,0.947239256,-0.41516979
2012/1/19,0.012921242,0.369620519,0.552833748,0.110669554
