Date,log_returns,QPLp1,QPLp21,QPLn1,QPLn21
2011/2/1,0.00151757,23507.856,28681.49165,23395.51853,19175.37928
2011/2/2,0.017978658,23756.99199,28985.45777,23643.46396,19378.59973
2011/2/7,-0.014975034,24039.24721,29329.83204,23924.37036,19608.83556
2011/2/8,-0.002946138,23670.11416,28879.45977,23557.0013,19307.7334
2011/2/9,-0.013731468,23591.84693,28783.96739,23479.10808,19243.89075
2011/2/10,-0.019856056,23090.8785,28172.74526,22980.53364,18835.25035
2011/2/11,0.005283565,22807.10966,27826.52426,22698.12086,18603.77986
2011/2/14,0.012715737,22975.2519,28031.67143,22865.45959,18740.93363
2011/2/15,-0.009616587,23092.27183,28174.44524,22981.92032,18836.3869
2011/2/16,0.011168512,23070.57994,28147.97938,22960.33208,18818.6928
2011/2/17,0.006236512,23229.04903,28341.32453,23118.0439,18947.95618
2011/2/18,0.012512669,23398.64475,28548.24505,23286.82916,19086.29556
2011/2/21,-0.004665194,23556.46228,28740.79525,23443.89253,19215.02746
2011/2/22,-0.021285232,23226.08194,28337.70443,23115.09098,18945.53592
2011/2/23,-0.003656396,23038.48316,28108.8187,22928.38868,18792.51143
2011/2/24,-0.013442252,22911.5896,27953.99826,22802.10152,18689.00424
2011/2/25,0.018035975,22781.53849,27795.32535,22672.67188,18582.92143
2011/2/28,0.014051893,22955.0636,28007.04007,22845.36776,18724.46602
2011/3/1,0.002499229,23373.87549,28518.02456,23262.17827,19066.09125
2011/3/2,-0.014975386,23169.85744,28269.10597,23059.13516,18899.67354
2011/3/3,0.003195076,23158.22962,28254.91909,23047.56291,18890.18872
2011/3/4,0.012311874,23462.89845,28626.63979,23350.77582,19138.70736
2011/3/7,-0.004095288,23312.90965,28443.64128,23201.50377,19016.36136
2011/3/8,0.016949302,23457.60579,28620.18232,23345.50845,19134.39014
2011/3/9,0.004141683,23921.15471,29185.7496,23806.84219,19512.5074
2011/3/10,-0.008232835,23875.7561,29130.35962,23761.66053,19475.47572
2011/3/11,-0.015581776,23493.70214,28664.22279,23381.4323,19163.83396
