Date,log_returns,Open,High,Low,Close
2011/2/1,0.00151757,23451.62,23552.23,23422.72,23482.95
2011/2/2,0.017978658,23700.16,23922.74,23671.51,23908.96
2011/2/7,-0.014975034,23981.74,23981.74,23530.8,23553.59
2011/2/8,-0.002946138,23613.49,23616.83,23396.17,23484.3
2011/2/9,-0.013731468,23535.41,23591.5,23128.72,23164.03
2011/2/10,-0.019856056,23035.64,23069.42,22668.02,22708.62
2011/2/11,0.005283565,22752.55,22861.53,22446.67,22828.92
2011/2/14,0.012715737,22920.29,23187.82,22899.58,23121.06
2011/2/15,-0.009616587,23037.03,23104.98,22881.16,22899.78
2011/2/16,0.011168512,23015.39,23183.28,22809.01,23156.97
2011/2/17,0.006236512,23173.48,23320.43,23079.47,23301.84
2011/2/18,0.012512669,23342.67,23614.61,23316.3,23595.24
2011/2/21,-0.004665194,23500.11,23585.63,23444.77,23485.42
2011/2/22,-0.021285232,23170.52,23170.52,22938.13,22990.81
2011/2/23,-0.003656396,22983.37,23055.47,22837.09,22906.9
2011/2/24,-0.013442252,22856.78,23036.93,22575.99,22601.04
2011/2/25,0.018035975,22727.04,23091.32,22712.96,23012.37
2011/2/28,0.014051893,22900.15,23388.32,22886.37,23338.02
2011/3/1,0.002499229,23317.96,23478.7,23244.11,23396.42
2011/3/2,-0.014975386,23114.43,23114.43,22915.65,23048.66
2011/3/3,0.003195076,23102.83,23329.38,23097.15,23122.42
2011/3/4,0.012311874,23406.77,23506.67,23374.6,23408.86
2011/3/7,-0.004095288,23257.14,23491.71,23229.07,23313.19
2011/3/8,0.016949302,23401.49,23731.89,23307.7,23711.7
2011/3/9,0.004141683,23863.93,23934.07,23775.7,23810.11
2011/3/10,-0.008232835,23818.64,23818.64,23564.95,23614.89
2011/3/11,-0.015581776,23437.5,23514.73,23105.99,23249.78
2011/3/14,0.004124854,23207.15,23345.88,23078.94,23345.88
2011/3/15,-0.029014208,23110.71,23110.71,22253.47,22678.25
2011/3/16,0.000997375,22814.5,22814.5,22541.55,22700.88
2011/3/17,-0.018515462,22237.24,22393.98,22123.26,22284.43
2011/3/18,0.000708764,22387.98,22464.35,22273.7,22300.23
2011/3/21,0.017116619,22401.06,22711.84,22395.3,22685.22
2011/3/22,0.00758318,22732.95,22880.59,22654.22,22857.9
2011/3/23,-0.00142284,22797.94,22849.23,22714.86,22825.4
2011/3/24,0.003929986,23005.49,23050.87,22890.83,22915.28
2011/3/25,0.010565288,23135.38,23179.26,23068.09,23158.67
2011/3/28,-0.003914612,23114.07,23261.68,22952.43,23068.19
2011/3/29,-0.000339486,22997.35,23137.15,22965.34,23060.36
2011/3/30,0.016816348,23192.79,23505.11,23180.92,23451.43
2011/3/31,0.003239326,23618.06,23618.06,23450.46,23527.52
2011/4/1,0.01159461,23664.48,23827.21,23474.34,23801.9
2011/4/4,0.014542987,23917.01,24164.37,23917.01,24150.58
2011/4/6,0.005552538,24182.83,24322.26,24102.6,24285.05
2011/4/7,-0.000133836,24317.82,24368.76,24195.61,24281.8
2011/4/8,0.004694955,24306.44,24468.64,24251.74,24396.07
2011/4/11,-0.003819374,24394.99,24466.47,24250.05,24303.07
2011/4/12,-0.013533918,24142.55,24142.55,23916.55,23976.37
2011/4/13,0.00659555,23981.05,24200.32,23842.29,24135.03
2011/4/14,-0.005027319,23951.88,24070.76,23912.27,24014
2011/4/15,-0.00024697,24086.55,24236.54,23902.03,24008.07
2011/4/18,-0.007431724,23977.87,24145.43,23769.48,23830.31
2011/4/19,-0.013080817,23654.86,23654.86,23468.2,23520.62
2011/4/20,0.015837782,23709.29,23904.77,23682.79,23896.1
2011/4/21,0.010084939,24090.55,24185.49,24031.42,24138.31
2011/4/26,-0.005438922,23964.62,24070.03,23844.3,24007.38
2011/4/27,-0.004782451,24193.28,24260.77,23825.13,23892.84
2011/4/28,-0.003656725,24103.03,24132.05,23761.13,23805.63
2011/4/29,-0.003569385,23774.47,23808.93,23633.74,23720.81
2011/5/3,-0.003698103,23794.86,23924.48,23599.28,23633.25
2011/5/4,-0.013547395,23582.6,23582.6,23230.38,23315.24
2011/5/5,-0.002302862,23228.01,23348.33,23167.93,23261.61
2011/5/6,-0.004414843,23035.94,23207.44,22985.66,23159.14
2011/5/9,0.007607714,23239.15,23392.7,23239.15,23336
2011/5/11,-0.001895865,23509.01,23509.01,23233.42,23291.8
2011/5/12,-0.009405326,23112.13,23127.98,22985.54,23073.76
2011/5/13,0.008738346,23120,23295.03,22888.08,23276.27
2011/5/16,-0.013653377,23054.06,23134.64,22937.14,22960.63
2011/5/17,-0.002596939,22896.2,22967.88,22768.03,22901.08
2011/5/18,0.004794375,22968.62,23057.72,22924.46,23011.14
2011/5/19,0.006594137,23125.28,23248.13,23031.6,23163.38
2011/5/20,0.001553402,23215.62,23242.63,23147.42,23199.39
2011/5/23,-0.021275716,22942.96,22942.96,22691.33,22711.02
2011/5/24,0.000869684,22693.1,22754.45,22631.13,22730.78
2011/5/25,0.000725625,22558.33,22767.01,22519.66,22747.28
2011/5/26,0.00672583,22848.06,22943.85,22796.13,22900.79
2011/5/27,0.009443155,22939.95,23150.6,22859.98,23118.07
2011/5/30,0.002861625,23117.8,23257.85,23086.05,23184.32
2011/5/31,0.021329015,23380.29,23707.95,23371.48,23684.13
2011/6/1,-0.002439203,23686.77,23706,23598.39,23626.43
2011/6/2,-0.015895721,23280.05,23317.79,23210.95,23253.84
2011/6/3,-0.013171515,23338.76,23338.76,22932.48,22949.56
2011/6/7,-0.003530913,22762.21,22928.96,22730.12,22868.67
2011/6/8,-0.009094666,22757.62,22757.62,22607.09,22661.63
2011/6/9,-0.002288418,22628.13,22647.3,22372.94,22609.83
2011/6/10,-0.008414847,22641.62,22674.8,22297.94,22420.37
2011/6/13,0.003904435,22172.61,22508.5,22156.81,22508.08
2011/6/14,-0.00053684,22298.47,22642.46,22298.47,22496
2011/6/15,-0.006789981,22532.84,22598.76,22327,22343.77
2011/6/16,-0.01763872,22048.28,22065.46,21874.89,21953.11
2011/6/17,-0.011815012,21969.68,21971.24,21628.33,21695.26
2011/6/20,-0.004423174,21770.79,21897.35,21508.77,21599.51
2011/6/21,0.011557294,21783.86,21875.16,21656.06,21850.59
2011/6/22,0.000429187,22044.16,22047.85,21837.84,21859.97
2011/6/23,-0.004623211,21777.11,21905.1,21632.87,21759.14
2011/6/24,0.018794077,21843.76,22182.75,21783.73,22171.95
2011/6/27,-0.005888687,21888.04,22099.29,21888.04,22041.77
2011/6/28,0.00090741,22168.93,22206.09,21952.37,22061.78
2011/6/29,-2.72E-05,22229.84,22237.1,22022.06,22061.18
2011/6/30,0.015156631,22233.7,22464.05,22174.61,22398.1
2011/7/4,0.016488387,22813.25,22817.5,22728.65,22770.47
2011/7/5,-0.00098949,22821.75,22821.75,22707.1,22747.95
2011/7/6,-0.010180026,22645.35,22737.5,22509.18,22517.55
2011/7/7,0.000560739,22587.5,22707.37,22523.93,22530.18
2011/7/8,0.008672821,22706.24,22835.03,22677.97,22726.43
2011/7/11,-0.016826188,22598.62,22598.62,22307.22,22347.23
2011/7/12,-0.031089254,22092.57,22092.57,21648.39,21663.16
2011/7/13,0.012100159,21794.37,21935.68,21718.81,21926.88
2011/7/14,0.000607289,21936.87,21945.02,21747.45,21940.2
2011/7/15,-0.002958767,21872.56,21974.57,21774.95,21875.38
2011/7/18,-0.003233968,21727.93,22026.6,21727.93,21804.75
2011/7/19,0.004468384,21805,21909.54,21611.16,21902.4
2011/7/20,0.004613947,22072.89,22088.24,21871.96,22003.69
2011/7/21,-0.000745607,22058.63,22090.55,21857.03,21987.29
2011/7/22,0.020594402,22231.6,22449.11,22231.6,22444.8
2011/7/25,-0.006773225,22287.37,22330.2,22217.4,22293.29
2011/7/26,0.012428008,22285.04,22581.56,22262.46,22572.08
2011/7/27,-0.001347261,22489.7,22635.38,22469.18,22541.69
2011/7/28,0.001287894,22246.7,22572.3,22231.07,22570.74
2011/7/29,-0.005798156,22544.51,22623.01,22323.16,22440.25
2011/8/1,0.009893743,22739.55,22808.33,22651,22663.37
2011/8/2,-0.010731429,22532.77,22623.22,22387.92,22421.46
2011/8/3,-0.019307046,22015.67,22041.87,21882.78,21992.72
2011/8/4,-0.004921899,22019.92,22087.12,21725.67,21884.74
2011/8/5,-0.043835209,20939.4,21017.72,20643.26,20946.14
2011/8/8,-0.021989601,20409.01,20572.51,20044.37,20490.57
2011/8/9,-0.058270275,19209.7,20158.55,18868.11,19330.7
2011/8/10,0.023162344,19993.78,20105.87,19672.66,19783.67
2011/8/11,-0.009575274,19319.43,19728.88,19269.41,19595.14
2011/8/12,0.001268388,19955.82,19955.82,19575,19620.01
2011/8/15,0.032103471,20056.78,20264.33,19924.56,20260.1
2011/8/16,-0.002372989,20344.75,20431.86,20140.31,20212.08
2011/8/17,0.0037999,20318.37,20504.38,20214.72,20289.03
2011/8/18,-0.013534903,20261.21,20342.24,19969.21,20016.27
2011/8/19,-0.0312765,19478.82,19595.92,19314.42,19399.92
2011/8/22,0.004471963,19465.3,19666.84,19047.64,19486.87
2011/8/23,0.019748421,19476.47,19893.37,19383.38,19875.53
2011/8/24,-0.02077939,19863.11,19876.67,19452.65,19466.79
2011/8/25,0.014569116,19744.52,19803.28,19638.87,19752.48
2011/8/26,-0.008623338,19733.71,19919.92,19549.53,19582.88
2011/8/29,0.014309211,19883.06,19919.34,19749.4,19865.11
2011/8/30,0.016924092,20203.55,20341.12,20071.52,20204.17
2011/8/31,0.016234424,20256.34,20556.93,20168.93,20534.85
2011/9/1,0.002455243,20790.22,20975.3,20572.97,20585.33
2011/9/2,-0.018257177,20557.92,20580.81,20178.67,20212.91
2011/9/5,-0.029955558,19830.5,19830.5,19567.77,19616.4
2011/9/6,0.004785538,19378.78,19727.89,19290.4,19710.5
2011/9/7,0.016977909,19836.25,20069.75,19785.29,20048
2011/9/8,-0.006765653,20159.29,20159.29,19799.49,19912.82
2011/9/9,-0.002322306,19997.89,20088.8,19808.95,19866.63
2011/9/12,-0.042996383,19264.68,19303.74,18989.44,19030.54
2011/9/14,0.000782646,19216.29,19248.64,18627.65,19045.44
2011/9/15,0.00711857,19186.76,19269.41,18935.08,19181.5
2011/9/16,0.014173768,19545.5,19652.53,19454.74,19455.31
2011/9/19,-0.028008834,19247.59,19247.59,18876.06,18917.95
2011/9/20,0.005106417,19008.61,19055.16,18732.75,19014.8
2011/9/21,-0.010075941,18891.5,19023.57,18698.9,18824.17
2011/9/22,-0.049673595,18296.8,18296.8,17859.31,17911.95
2011/9/23,-0.013666018,17585.79,17813.57,17373.41,17668.83
