Date,log_returns,Open,High,Low,Close
2011/2/1,0.018752143,2717.61,2755.97,2716.64,2751.19
2011/2/2,-0.000592646,2751.19,2758.51,2743.76,2749.56
2011/2/3,0.001569927,2746.74,2757.54,2725.78,2753.88
2011/2/4,0.005583754,2755.85,2769.7,2747.86,2769.3
2011/2/7,0.00529057,2773.26,2796.5,2772.81,2783.99
2011/2/8,0.00468014,2782.41,2797.05,2776.35,2797.05
2011/2/9,-0.002857083,2791.13,2798.91,2780.89,2789.07
2011/2/10,0.000494666,2764.76,2791.43,2762.34,2790.45
2011/2/11,0.006782302,2783.16,2810.56,2778.21,2809.44
2011/2/14,0.002751209,2810.19,2819.87,2808.27,2817.18
2011/2/15,-0.004564602,2809.02,2813.13,2798.83,2804.35
2011/2/16,0.007534792,2815.09,2828.19,2811.52,2825.56
2011/2/17,0.002128285,2816.12,2835.2,2815.08,2831.58
2011/2/18,0.000836638,2833.35,2840.51,2823.65,2833.95
2011/2/22,-0.027738762,2795.44,2808.18,2752.75,2756.42
2011/2/23,-0.012202195,2755.2,2761.7,2705.54,2722.99
2011/2/24,0.005460662,2726.59,2745.29,2707.63,2737.9
2011/2/25,0.015637351,2752.16,2781.12,2751.81,2781.05
2011/2/28,0.000438587,2791.28,2798.43,2767.61,2782.27
2011/3/1,-0.016254923,2791.08,2791.23,2730.72,2737.41
2011/3/2,0.003886629,2735.05,2763.95,2734.08,2748.07
2011/3/3,0.018270469,2774.48,2802.32,2774.48,2798.74
2011/3/4,-0.005039941,2797.64,2798.07,2768.12,2784.67
2011/3/7,-0.014118818,2793.19,2794.82,2724.51,2745.63
2011/3/8,0.00730852,2745.23,2775.41,2729.85,2765.77
2011/3/9,-0.005092907,2756.34,2761.77,2737.68,2751.72
2011/3/10,-0.018596691,2719.29,2721.21,2695.08,2701.02
2011/3/11,0.005387126,2689.65,2724.61,2689.41,2715.61
2011/3/14,-0.005405638,2695.66,2715.22,2682.09,2700.97
2011/3/15,-0.012532996,2619.4,2680.57,2618.5,2667.33
2011/3/16,-0.019118132,2652.92,2669.27,2603.5,2616.82
2011/3/17,0.007321744,2656.08,2660.5,2634.17,2636.05
2011/3/18,0.002886519,2665.54,2665.56,2639.76,2643.67
2011/3/21,0.01814974,2675.47,2699.7,2674.99,2692.09
2011/3/22,-0.003058061,2692.13,2695.46,2679.41,2683.87
2011/3/23,0.005362162,2677.56,2704.3,2660.17,2698.3
2011/3/24,0.014028552,2715.88,2740.39,2703.42,2736.42
2011/3/25,0.002423589,2746.34,2762.55,2740.17,2743.06
2011/3/28,-0.004523423,2752.33,2754.63,2730.68,2730.68
2011/3/29,0.00955257,2727.83,2756.89,2720.19,2756.89
2011/3/30,0.007192351,2772.36,2779.95,2763.77,2776.79
2011/3/31,0.001540161,2774.23,2783.98,2769.52,2781.07
2011/4/1,0.003062471,2796.67,2802.63,2779.71,2789.6
2011/4/4,-0.000146985,2796.26,2799.73,2778.87,2789.19
2011/4/5,0.000716797,2787.78,2806.2,2785.27,2791.19
2011/4/6,0.003087101,2808.11,2815.55,2786.8,2799.82
2011/4/7,-0.001315235,2799.59,2813.22,2781.13,2796.14
2011/4/8,-0.005641496,2806.29,2808.56,2772.4,2780.41
2011/4/11,-0.003206101,2789.49,2792.95,2760.84,2771.51
2011/4/12,-0.009687729,2755.89,2760.62,2737.07,2744.79
2011/4/13,0.006076683,2762.69,2772.05,2744.85,2761.52
2011/4/14,-0.000470866,2743.12,2762.18,2733.68,2760.22
2011/4/15,0.001603658,2752.87,2769.29,2743.75,2764.65
2011/4/18,-0.010643679,2731.22,2737.46,2706.5,2735.38
2011/4/19,0.00349978,2741.35,2746.18,2727.12,2744.97
2011/4/20,0.020745298,2788.84,2802.99,2785.98,2802.51
2011/4/21,0.006278177,2820.77,2820.77,2808.55,2820.16
2011/4/25,0.0020262,2820.28,2826.26,2813.2,2825.88
2011/4/26,0.007635643,2832.48,2856.61,2829,2847.54
2011/4/27,0.007814753,2853.88,2870.8,2842.61,2869.88
2011/4/28,0.000922957,2862.82,2874.59,2859.62,2872.53
2011/4/29,0.000351545,2869.74,2876.83,2863.04,2873.54
