"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017-12-29","7,687.77","7,622.88","7,697.62","7,620.01","298.18M","0.85%"
"2017-12-28","7,622.88","7,620.68","7,633.55","7,609.77","321.52M","0.03%"
"2017-12-27","7,620.68","7,592.66","7,632.71","7,586.42","472.51M","0.37%"
"2017-12-22","7,592.66","7,603.98","7,614.40","7,585.47","251.37M","-0.15%"
"2017-12-21","7,603.98","7,525.22","7,609.69","7,517.88","640.56M","1.05%"
"2017-12-20","7,525.22","7,544.09","7,550.60","7,511.45","679.71M","-0.25%"
"2017-12-19","7,544.09","7,537.01","7,563.49","7,534.08","695.72M","0.09%"
"2017-12-18","7,537.01","7,490.57","7,544.26","7,490.57","585.56M","0.62%"
"2017-12-15","7,490.57","7,448.12","7,490.57","7,433.78","1.22B","0.57%"
"2017-12-14","7,448.12","7,496.51","7,496.70","7,448.12","924.06M","-0.65%"
"2017-12-13","7,496.51","7,500.41","7,510.77","7,492.58","1.03B","-0.05%"
"2017-12-12","7,500.41","7,453.48","7,501.52","7,448.31","1.02B","0.63%"
"2017-12-11","7,453.48","7,393.96","7,458.40","7,393.58","933.60M","0.80%"
"2017-12-8","7,393.96","7,320.75","7,412.21","7,314.23","1.04B","1.00%"
"2017-12-7","7,320.75","7,348.03","7,371.73","7,314.60","823.88M","-0.37%"
"2017-12-6","7,348.03","7,327.50","7,369.71","7,289.36","692.98M","0.28%"
"2017-12-5","7,327.50","7,338.97","7,373.90","7,326.57","903.63M","-0.16%"
"2017-12-4","7,338.97","7,300.49","7,369.65","7,300.49","768.16M","0.53%"
"2017-12-1","7,300.49","7,326.67","7,355.43","7,288.73","865.25M","-0.36%"
"2017-11-30","7,326.67","7,393.56","7,416.26","7,326.67","1.38B","-0.90%"
"2017-11-29","7,393.56","7,460.65","7,460.65","7,386.67","1.11B","-0.90%"
"2017-11-28","7,460.65","7,383.90","7,469.61","7,373.95","946.12M","1.04%"
"2017-11-27","7,383.90","7,409.64","7,438.39","7,383.90","656.44M","-0.35%"
"2017-11-24","7,409.64","7,417.24","7,425.19","7,389.54","561.89M","-0.10%"
"2017-11-23","7,417.24","7,419.02","7,422.73","7,373.31","577.46M","-0.02%"
"2017-11-22","7,419.02","7,411.34","7,460.91","7,410.38","859.39M","0.10%"
"2017-11-21","7,411.34","7,389.46","7,422.18","7,367.86","753.29M","0.30%"
"2017-11-20","7,389.46","7,380.68","7,397.39","7,350.37","738.28M","0.12%"
"2017-11-17","7,380.68","7,386.94","7,406.53","7,356.16","731.96M","-0.08%"
"2017-11-16","7,386.94","7,372.61","7,393.28","7,368.14","926.68M","0.19%"
"2017-11-15","7,372.61","7,414.42","7,415.09","7,357.06","919.47M","-0.56%"
"2017-11-14","7,414.42","7,415.18","7,436.57","7,396.92","1.18B","-0.01%"
"2017-11-13","7,415.18","7,432.99","7,469.30","7,402.95","759.79M","-0.24%"
"2017-11-10","7,432.99","7,484.10","7,500.29","7,421.73","694.70M","-0.68%"
"2017-11-9","7,484.10","7,529.72","7,532.20","7,476.89","860.71M","-0.61%"
"2017-11-8","7,529.72","7,513.11","7,534.49","7,504.77","807.97M","0.22%"
"2017-11-7","7,513.11","7,562.28","7,582.85","7,507.83","747.48M","-0.65%"
"2017-11-6","7,562.28","7,560.35","7,572.90","7,544.20","632.91M","0.03%"
"2017-11-3","7,560.35","7,555.32","7,580.95","7,541.91","672.31M","0.07%"
"2017-11-2","7,555.32","7,487.96","7,562.26","7,478.88","1.03B","0.90%"
"2017-11-1","7,487.96","7,493.08","7,532.36","7,487.96","1.21B","-0.07%"
"2017-10-31","7,493.08","7,487.81","7,516.85","7,483.97","730.56M","0.07%"
"2017-10-30","7,487.81","7,505.03","7,507.02","7,478.41","749.41M","-0.23%"
"2017-10-27","7,505.03","7,486.50","7,520.76","7,485.24","870.03M","0.25%"
"2017-10-26","7,486.50","7,447.21","7,488.26","7,440.11","1.02B","0.53%"
"2017-10-25","7,447.21","7,526.54","7,528.46","7,437.42","922.39M","-1.05%"
"2017-10-24","7,526.54","7,524.45","7,535.22","7,508.50","676.61M","0.03%"
"2017-10-23","7,524.45","7,523.23","7,542.00","7,511.77","565.83M","0.02%"
"2017-10-20","7,523.23","7,523.04","7,560.04","7,517.07","752.95M","0.00%"
"2017-10-19","7,523.04","7,542.87","7,542.87","7,485.42","828.89M","-0.26%"
"2017-10-18","7,542.87","7,516.17","7,555.24","7,516.17","645.75M","0.36%"
"2017-10-17","7,516.17","7,526.97","7,550.44","7,506.31","1.03B","-0.14%"
"2017-10-16","7,526.97","7,535.44","7,557.00","7,526.73","738.06M","-0.11%"
"2017-10-13","7,535.44","7,556.24","7,556.24","7,521.09","686.92M","-0.28%"
"2017-10-12","7,556.24","7,533.81","7,565.11","7,526.33","722.80M","0.30%"
"2017-10-11","7,533.81","7,538.27","7,550.17","7,519.60","1.25B","-0.06%"
"2017-10-10","7,538.27","7,507.89","7,543.88","7,504.56","821.71M","0.40%"
"2017-10-9","7,507.89","7,522.87","7,523.65","7,493.68","695.85M","-0.20%"
"2017-10-6","7,522.87","7,507.99","7,527.72","7,507.99","694.72M","0.20%"
"2017-10-5","7,507.99","7,467.58","7,507.99","7,464.40","775.86M","0.54%"
"2017-10-4","7,467.58","7,468.11","7,476.33","7,456.61","945.11M","-0.01%"
"2017-10-3","7,468.11","7,438.84","7,469.82","7,426.67","718.75M","0.39%"
"2017-10-2","7,438.84","7,372.76","7,438.84","7,372.73","891.03M","0.90%"
"2017-9-29","7,372.76","7,322.82","7,382.67","7,321.64","750.78M","0.68%"
"2017-9-28","7,322.82","7,313.51","7,323.33","7,289.75","748.36M","0.13%"
"2017-9-27","7,313.51","7,285.74","7,327.50","7,285.74","857.13M","0.38%"
"2017-9-26","7,285.74","7,301.29","7,311.82","7,273.32","707.67M","-0.21%"
"2017-9-25","7,301.29","7,310.64","7,312.45","7,272.49","601.76M","-0.13%"
"2017-9-22","7,310.64","7,263.90","7,320.28","7,242.23","644.90M","0.64%"
"2017-9-21","7,263.90","7,271.95","7,289.16","7,260.05","807.48M","-0.11%"
"2017-9-20","7,271.95","7,275.25","7,289.93","7,249.58","794.23M","-0.05%"
"2017-9-19","7,275.25","7,253.28","7,285.67","7,243.59","797.45M","0.30%"
"2017-9-18","7,253.28","7,215.47","7,257.45","7,215.47","734.33M","0.52%"
"2017-9-15","7,215.47","7,295.39","7,295.39","7,196.58","1.46B","-1.10%"
"2017-9-14","7,295.39","7,379.70","7,390.70","7,287.73","1.26B","-1.14%"
