date,close,open,high,low,vol,return
2010/1/4,10583.96 ,10430.69 ,10604.97 ,10430.69 ,179.78M,0.0150 
2010/1/5,10572.02 ,10584.56 ,10584.56 ,10522.52 ,188.54M,-0.0011 
2010/1/6,10573.68 ,10564.72 ,10594.99 ,10546.55 ,186.04M,0.0002 
2010/1/7,10606.86 ,10571.11 ,10612.37 ,10505.21 ,217.39M,0.0031 
2010/1/8,10618.19 ,10606.40 ,10619.40 ,10554.33 ,172.71M,0.0011 
2010/1/11,10663.99 ,10620.31 ,10676.23 ,10591.59 ,182.05M,0.0043 
2010/1/12,10627.26 ,10662.86 ,10663.08 ,10568.84 ,219.30M,-0.0034 
2010/1/13,10680.77 ,10628.09 ,10709.26 ,10614.49 ,202.85M,0.0050 
2010/1/14,10710.55 ,10680.16 ,10723.77 ,10666.86 ,201.32M,0.0028 
2010/1/15,10609.65 ,10706.99 ,10709.94 ,10561.06 ,362.93M,-0.0094 
2010/1/19,10725.43 ,10608.37 ,10729.89 ,10591.97 ,192.15M,0.0109 
2010/1/20,10603.15 ,10719.69 ,10719.92 ,10517.30 ,203.27M,-0.0114 
2010/1/21,10389.88 ,10603.91 ,10614.94 ,10374.69 ,304.29M,-0.0201 
2010/1/22,10172.98 ,10389.58 ,10389.58 ,10157.64 ,323.66M,-0.0209 
2010/1/25,10196.86 ,10175.10 ,10256.87 ,10171.77 ,215.33M,0.0023 
2010/1/26,10194.29 ,10195.35 ,10285.13 ,10155.60 ,217.30M,-0.0003 
2010/1/27,10236.16 ,10194.29 ,10255.06 ,10104.36 ,262.17M,0.0041 
2010/1/28,10120.46 ,10236.92 ,10258.83 ,10055.08 ,240.05M,-0.0113 
2010/1/29,10067.33 ,10122.04 ,10239.34 ,10043.75 ,316.90M,-0.0052 
2010/2/1,10185.53 ,10068.99 ,10190.89 ,10068.91 ,198.43M,0.0117 
2010/2/2,10296.85 ,10186.13 ,10314.84 ,10173.59 ,237.14M,0.0109 
2010/2/3,10270.55 ,10291.73 ,10307.20 ,10231.93 ,198.94M,-0.0026 
2010/2/4,10002.18 ,10273.12 ,10273.12 ,9998.03 ,304.25M,-0.0261 
2010/2/5,10012.23 ,10003.69 ,10031.96 ,9835.09 ,308.32M,0.0010 
2010/2/8,9908.39 ,10005.43 ,10028.56 ,9904.09 ,216.27M,-0.0104 
2010/2/9,10058.64 ,9910.28 ,10139.43 ,9910.06 ,236.21M,0.0152 
2010/2/10,10038.38 ,10055.46 ,10085.54 ,9962.96 ,178.60M,-0.0020 
2010/2/11,10144.19 ,10037.85 ,10161.57 ,9976.71 ,194.47M,0.0105 
2010/2/12,10099.14 ,10137.23 ,10137.39 ,9983.82 ,296.51M,-0.0044 
2010/2/16,10268.81 ,10100.81 ,10279.54 ,10100.81 ,234.90M,0.0168 
2010/2/17,10309.24 ,10261.48 ,10320.13 ,10261.48 ,193.27M,0.0039 
2010/2/18,10392.90 ,10309.39 ,10406.58 ,10294.51 ,185.31M,0.0081 
2010/2/19,10402.35 ,10387.77 ,10438.55 ,10339.17 ,241.75M,0.0009 
2010/2/22,10383.38 ,10402.43 ,10433.64 ,10368.95 ,158.44M,-0.0018 
2010/2/23,10282.41 ,10383.16 ,10411.12 ,10267.83 ,190.74M,-0.0097 
2010/2/24,10374.16 ,10284.00 ,10393.51 ,10283.93 ,181.45M,0.0089 
2010/2/25,10321.03 ,10366.60 ,10366.68 ,10185.83 ,242.55M,-0.0051 
2010/2/26,10325.26 ,10321.41 ,10353.45 ,10272.29 ,282.12M,0.0004 
2010/3/1,10403.79 ,10326.10 ,10413.99 ,10326.10 ,173.75M,0.0076 
2010/3/2,10405.98 ,10404.16 ,10456.92 ,10389.43 ,217.18M,0.0002 
2010/3/3,10396.76 ,10406.28 ,10469.54 ,10376.58 ,183.29M,-0.0009 
2010/3/4,10444.14 ,10396.53 ,10452.38 ,10390.86 ,165.74M,0.0046 
2010/3/5,10566.20 ,10445.13 ,10571.94 ,10445.05 ,184.27M,0.0117 
2010/3/8,10552.52 ,10563.78 ,10587.74 ,10542.39 ,171.78M,-0.0013 
2010/3/9,10564.38 ,10552.24 ,10612.60 ,10533.93 ,219.86M,0.0011 
2010/3/10,10567.33 ,10560.13 ,10601.79 ,10526.52 ,186.57M,0.0003 
2010/3/11,10611.84 ,10560.98 ,10611.84 ,10507.17 ,149.99M,0.0042 
2010/3/12,10624.69 ,10611.77 ,10644.95 ,10594.84 ,166.14M,0.0012 
2010/3/15,10642.15 ,10623.41 ,10644.19 ,10570.51 ,160.57M,0.0016 
2010/3/16,10685.98 ,10642.53 ,10693.99 ,10621.90 ,227.42M,0.0041 
2010/3/17,10733.67 ,10686.36 ,10767.98 ,10686.36 ,194.19M,0.0045 
2010/3/18,10779.17 ,10733.44 ,10784.00 ,10728.15 ,153.28M,0.0042 
2010/3/19,10741.98 ,10780.00 ,10819.90 ,10694.22 ,434.19M,-0.0035 
2010/3/22,10785.89 ,10741.00 ,10809.85 ,10695.13 ,157.20M,0.0041 
2010/3/23,10888.83 ,10787.18 ,10893.89 ,10784.76 ,189.14M,0.0095 
2010/3/24,10836.15 ,10887.62 ,10887.84 ,10825.42 ,195.57M,-0.0048 
2010/3/25,10841.21 ,10837.51 ,10955.48 ,10834.19 ,200.33M,0.0005 
2010/3/26,10850.36 ,10841.29 ,10909.38 ,10816.43 ,175.49M,0.0008 
2010/3/29,10895.86 ,10849.23 ,10916.64 ,10849.23 ,136.71M,0.0042 
2010/3/30,10907.42 ,10895.02 ,10940.22 ,10866.83 ,148.81M,0.0011 
2010/3/31,10856.63 ,10907.34 ,10907.42 ,10832.83 ,197.06M,-0.0047 
2010/4/1,10927.07 ,10857.31 ,10956.39 ,10857.31 ,159.51M,0.0065 
2010/4/5,10973.55 ,10927.45 ,10988.06 ,10923.97 ,139.48M,0.0043 
