date,close,open,high,low,vol,return
2010/1/4,21823.28 ,21860.04 ,22024.83 ,21689.22 ,1.01B,-0.23%
2010/1/5,22279.58 ,22092.15 ,22297.04 ,21987.27 ,1.97B,2.09%
2010/1/6,22416.67 ,22357.46 ,22514.79 ,22277.13 ,2.10B,0.62%
2010/1/7,22269.45 ,22548.03 ,22548.03 ,22169.61 ,1.50B,-0.66%
2010/1/8,22296.75 ,22282.75 ,22443.22 ,22206.16 ,1.63B,0.12%
2010/1/11,22411.52 ,22524.18 ,22671.92 ,22373.96 ,1.74B,0.51%
2010/1/12,22326.64 ,22378.23 ,22476.12 ,22192.98 ,2.20B,-0.38%
2010/1/13,21748.60 ,21990.68 ,22012.04 ,21688.17 ,3.41B,-2.59%
2010/1/14,21716.95 ,21871.01 ,21988.93 ,21707.10 ,2.34B,-0.15%
2010/1/15,21654.16 ,21715.09 ,21788.85 ,21581.07 ,2.66B,-0.29%
2010/1/18,21460.01 ,21418.34 ,21645.68 ,21320.97 ,1.87B,-0.90%
2010/1/19,21677.98 ,21481.11 ,21681.69 ,21335.60 ,1.91B,1.02%
2010/1/20,21286.17 ,21543.25 ,21561.56 ,21171.30 ,2.20B,-1.81%
2010/1/21,20862.67 ,21192.83 ,21272.26 ,20828.24 ,2.47B,-1.99%
2010/1/22,20726.18 ,20527.20 ,20738.99 ,20250.36 ,3.22B,-0.65%
2010/1/25,20598.55 ,20519.01 ,20619.70 ,20422.67 ,1.91B,-0.62%
2010/1/26,20109.33 ,20560.11 ,20560.11 ,20046.60 ,2.27B,-2.38%
2010/1/27,20033.07 ,20185.80 ,20340.82 ,19923.55 ,1.82B,-0.38%
2010/1/28,20356.37 ,20202.33 ,20437.56 ,20170.15 ,1.88B,1.61%
2010/1/29,20121.99 ,20026.52 ,20327.69 ,19916.34 ,1.78B,-1.15%
2010/2/1,20243.75 ,19987.67 ,20254.24 ,19845.93 ,1.70B,0.61%
2010/2/2,20272.18 ,20432.96 ,20533.96 ,20181.28 ,1.56B,0.14%
2010/2/3,20722.08 ,20486.15 ,20780.50 ,20315.31 ,1.92B,2.22%
2010/2/4,20341.64 ,20534.74 ,20554.20 ,20316.33 ,1.61B,-1.84%
2010/2/5,19665.08 ,19706.24 ,19822.93 ,19655.88 ,2.52B,-3.33%
2010/2/8,19550.89 ,19614.85 ,19673.11 ,19423.05 ,1.75B,-0.58%
2010/2/9,19790.28 ,19493.50 ,19843.87 ,19461.20 ,1.50B,1.22%
2010/2/10,19922.22 ,19914.84 ,19976.66 ,19681.54 ,1.58B,0.67%
2010/2/11,20290.69 ,20095.53 ,20310.79 ,20095.53 ,1.34B,1.85%
2010/2/12,20268.69 ,20240.67 ,20428.32 ,20212.55 ,1.19B,-0.11%
2010/2/17,20534.01 ,20657.86 ,20684.22 ,20471.36 ,1.11B,1.31%
2010/2/18,20422.15 ,20534.77 ,20569.61 ,20381.30 ,0.72B,-0.54%
2010/2/19,19894.02 ,20261.49 ,20261.49 ,19874.55 ,1.33B,-2.59%
2010/2/22,20377.27 ,20407.84 ,20427.09 ,20313.15 ,1.07B,2.43%
2010/2/23,20623.00 ,20218.51 ,20711.75 ,20120.10 ,1.47B,1.21%
2010/2/24,20467.74 ,20357.42 ,20583.84 ,20351.05 ,1.51B,-0.75%
2010/2/25,20399.57 ,20512.38 ,20644.27 ,20261.98 ,1.98B,-0.33%
2010/2/26,20608.70 ,20657.83 ,20662.84 ,20567.58 ,1.49B,1.03%
2010/3/1,21056.93 ,20853.08 ,21056.93 ,20853.08 ,2.59B,2.17%
2010/3/2,20906.11 ,20921.44 ,20961.83 ,20847.46 ,2.30B,-0.72%
2010/3/3,20876.79 ,21016.29 ,21016.29 ,20845.16 ,1.67B,-0.14%
2010/3/4,20575.78 ,20983.81 ,21000.13 ,20575.78 ,1.91B,-1.44%
2010/3/5,20787.97 ,20820.97 ,20820.97 ,20654.94 ,2.88B,1.03%
2010/3/8,21196.87 ,21099.71 ,21257.09 ,21080.76 ,2.05B,1.97%
2010/3/9,21207.55 ,21153.62 ,21277.66 ,21128.93 ,1.42B,0.05%
2010/3/10,21208.29 ,21293.52 ,21293.52 ,21156.09 ,1.26B,0.00%
2010/3/11,21228.20 ,21333.06 ,21333.06 ,21059.06 ,1.40B,0.09%
2010/3/12,21209.74 ,21249.80 ,21260.07 ,21116.84 ,1.16B,-0.09%
2010/3/15,21079.10 ,21036.42 ,21116.50 ,20964.31 ,1.14B,-0.62%
2010/3/16,21022.93 ,21135.79 ,21196.83 ,20986.69 ,1.03B,-0.27%
2010/3/17,21384.49 ,21183.60 ,21440.18 ,21159.43 ,1.61B,1.72%
2010/3/18,21330.67 ,21429.69 ,21440.81 ,21287.37 ,1.34B,-0.25%
2010/3/19,21370.82 ,21359.55 ,21389.00 ,21257.80 ,1.35B,0.19%
2010/3/22,20933.25 ,21120.43 ,21120.43 ,20899.69 ,1.57B,-2.05%
2010/3/23,20987.78 ,21070.65 ,21211.08 ,20971.56 ,1.25B,0.26%
2010/3/24,21008.62 ,21203.50 ,21205.50 ,20974.05 ,1.28B,0.10%
2010/3/25,20778.55 ,20799.05 ,20800.95 ,20659.28 ,1.46B,-1.10%
2010/3/26,21053.11 ,20679.65 ,21126.75 ,20679.65 ,1.86B,1.32%
2010/3/29,21237.43 ,21148.05 ,21318.23 ,21125.91 ,1.39B,0.88%
2010/3/30,21374.79 ,21230.53 ,21450.98 ,21202.17 ,1.75B,0.65%
2010/3/31,21239.35 ,21366.62 ,21446.80 ,21230.29 ,2.16B,-0.63%
2010/4/1,21537.00 ,21390.89 ,21547.66 ,21373.16 ,2.06B,1.40%
2010/4/5,21537.00 ,21537.00 ,21537.00 ,21537.00 ,2.06B,0.00%
2010/4/6,21537.00 ,21537.00 ,21537.00 ,21537.00 ,2.06B,0.00%
2010/4/7,21928.77 ,21828.35 ,21935.41 ,21747.57 ,2.87B,1.82%
2010/4/8,21867.04 ,21836.42 ,21949.25 ,21813.35 ,1.71B,-0.28%
2010/4/9,22208.50 ,22014.73 ,22249.23 ,21963.78 ,2.13B,1.56%
2010/4/12,22138.17 ,22388.77 ,22388.77 ,22131.93 ,1.58B,-0.32%
2010/4/13,22103.53 ,22216.11 ,22290.67 ,22008.05 ,1.87B,-0.16%
2010/4/14,22121.43 ,22183.05 ,22192.33 ,22061.77 ,1.30B,0.08%
2010/4/15,22157.82 ,22265.36 ,22337.89 ,22113.21 ,1.46B,0.16%
2010/4/16,21865.26 ,22059.30 ,22111.99 ,21788.88 ,2.50B,-1.32%
2010/4/19,21405.17 ,21557.78 ,21582.13 ,21283.30 ,2.35B,-2.10%
2010/4/20,21623.38 ,21519.26 ,21647.75 ,21507.47 ,1.42B,1.02%
2010/4/21,21510.93 ,21732.76 ,21740.64 ,21475.98 ,1.62B,-0.52%
2010/4/22,21454.94 ,21283.93 ,21471.11 ,21206.74 ,1.35B,-0.26%
2010/4/23,21244.49 ,21385.16 ,21442.77 ,21232.15 ,1.31B,-0.98%
2010/4/26,21587.06 ,21501.21 ,21617.85 ,21489.05 ,1.14B,1.61%
2010/4/27,21261.79 ,21341.48 ,21383.21 ,21224.05 ,1.33B,-1.51%
2010/4/28,20949.40 ,20853.83 ,21021.67 ,20853.83 ,1.79B,-1.47%
2010/4/29,20778.92 ,20994.37 ,21007.56 ,20763.34 ,1.62B,-0.81%
2010/4/30,21108.59 ,20934.07 ,21121.52 ,20920.15 ,2.39B,1.59%
2010/5/3,20811.36 ,20799.79 ,20886.85 ,20773.97 ,1.31B,-1.41%
2010/5/4,20763.05 ,20935.90 ,21011.95 ,20743.49 ,1.29B,-0.23%
2010/5/5,20327.54 ,20390.12 ,20505.66 ,20293.23 ,2.38B,-2.10%
2010/5/6,20133.41 ,20177.47 ,20303.22 ,19888.49 ,2.15B,-0.96%
2010/5/7,19920.29 ,19699.50 ,20037.60 ,19699.50 ,2.32B,-1.06%
2010/5/10,20426.64 ,20118.95 ,20491.95 ,20035.60 ,1.82B,2.54%
2010/5/11,20146.51 ,20346.54 ,20398.43 ,19977.10 ,1.89B,-1.37%
2010/5/12,20212.49 ,20175.74 ,20237.86 ,20003.49 ,1.16B,0.33%
2010/5/13,20422.46 ,20411.55 ,20526.58 ,20273.99 ,1.34B,1.04%
2010/5/14,20145.43 ,20258.45 ,20352.80 ,20130.78 ,1.37B,-1.36%
2010/5/17,19715.20 ,19832.03 ,19832.03 ,19593.50 ,1.73B,-2.14%
2010/5/18,19944.94 ,19768.80 ,20013.33 ,19672.39 ,1.35B,1.17%
2010/5/19,19578.98 ,19552.16 ,19785.86 ,19546.22 ,1.29B,-1.83%
2010/5/20,19545.83 ,19694.47 ,19747.16 ,19276.46 ,1.59B,-0.17%
2010/5/24,19667.76 ,19470.28 ,19757.44 ,19470.28 ,1.64B,0.62%
2010/5/25,18985.50 ,19317.24 ,19328.36 ,18974.52 ,2.17B,-3.47%
2010/5/26,19196.45 ,19177.34 ,19242.06 ,19047.70 ,2.26B,1.11%
2010/5/27,19431.37 ,19015.89 ,19555.78 ,18971.52 ,2.14B,1.22%
2010/5/28,19766.71 ,19816.39 ,19910.06 ,19710.86 ,2.07B,1.73%
2010/5/31,19765.19 ,19705.53 ,19823.99 ,19629.83 ,1.08B,-0.01%
2010/6/1,19496.95 ,19600.57 ,19805.60 ,19463.35 ,1.10B,-1.36%
2010/6/2,19471.80 ,19651.55 ,19656.22 ,19372.13 ,1.23B,-0.13%
2010/6/3,19786.71 ,19822.89 ,19859.80 ,19744.32 ,1.27B,1.62%
2010/6/4,19780.07 ,19765.25 ,19841.68 ,19658.66 ,1.01B,-0.03%
2010/6/7,19378.15 ,19211.67 ,19389.91 ,19211.67 ,1.58B,-2.03%
