date,close,open,high,low,vol,return
2012/1/2,6075.52,5900.18,6075.52,5900.18,90.83,0.03
2012/1/3,6166.57,6124.11,6179.03,6108.62,116.71,0.015
2012/1/4,6111.55,6141.26,6163.48,6088.06,100.87,-0.0089
2012/1/5,6095.99,6121.34,6130.1,6040.94,141.74,-0.0025
2012/1/6,6057.92,6114.64,6152.56,6012.64,109.97,-0.0062
2012/1/9,6017.23,6061.26,6076.59,5987.75,110.95,-0.0067
2012/1/10,6162.98,6090.87,6191.29,6069.36,171.41,0.0242
2012/1/11,6152.34,6148.45,6181.61,6106.03,166.8,-0.0017
2012/1/12,6179.21,6160.09,6256.95,6148.85,205.75,0.0044
2012/1/13,6143.08,6242.49,6245.38,6063.66,213.91,-0.0058
2012/1/16,6220.01,6120.4,6232.21,6104.11,108.07,0.0125
2012/1/17,6332.93,6301.91,6343.04,6270.97,167.12,0.0182
2012/1/18,6354.57,6330.43,6399.43,6280.52,184.49,0.0034
2012/1/19,6416.26,6377.24,6420.35,6333.7,335.56,0.0097
2012/1/20,6404.39,6410.75,6431.26,6371.69,272.36,-0.0018
2012/1/23,6436.62,6387.33,6467.34,6349.69,270.71,0.005
2012/1/24,6419.22,6372.49,6420.05,6339,246.1,-0.0027
2012/1/25,6421.85,6448.87,6456.57,6366.65,170.09,0.0004
2012/1/26,6539.85,6453.62,6559.07,6430.37,197.22,0.0184
2012/1/27,6511.98,6507.77,6574.19,6484.35,150.01,-0.0043
2012/1/30,6444.45,6454.54,6491.52,6414.33,140.51,-0.0104
2012/1/31,6458.91,6489.04,6533.22,6450.1,158.04,0.0022
2012/2/1,6616.64,6482.95,6630.48,6482.56,210.4,0.0244
2012/2/2,6655.63,6640.05,6667.98,6606.37,156,0.0059
2012/2/3,6766.67,6649.57,6767.46,6635.63,194.73,0.0167
2012/2/6,6764.83,6752.03,6781.43,6714.82,123.04,-0.0003
2012/2/7,6754.2,6772.75,6788.77,6682.89,143.2,-0.0016
2012/2/8,6748.76,6800.72,6829.88,6735.67,220.44,-0.0008
2012/2/9,6788.8,6782.14,6838.13,6746.1,242.28,0.0059
2012/2/10,6692.96,6730.54,6751.08,6649.56,228.64,-0.0141
2012/2/13,6738.47,6748.68,6774.6,6709.63,140.97,0.0068
2012/2/14,6728.19,6712.68,6788.57,6698.32,148.1,-0.0015
2012/2/15,6757.94,6807.55,6830.1,6736.56,163.43,0.0044
2012/2/16,6751.96,6665.24,6751.96,6651.72,166.24,-0.0009
2012/2/17,6848.03,6811.02,6874.53,6794.89,168.88,0.0142
2012/2/20,6948.25,6892.04,6956.67,6878.53,131.24,0.0146
2012/2/21,6908.18,6936.91,6971.03,6873.54,139.94,-0.0058
2012/2/22,6843.87,6914.68,6915.18,6821.8,129.08,-0.0093
2012/2/23,6809.46,6838.94,6903.51,6733.59,261.56,-0.005
2012/2/24,6864.43,6871.25,6890.9,6826.34,155.82,0.0081
2012/2/27,6849.6,6817.46,6868.58,6743.65,168.65,-0.0022
2012/2/28,6887.63,6867.23,6900.51,6809.22,149.73,0.0056
2012/2/29,6856.08,6914.66,6967.14,6843.27,195.54,-0.0046
2012/3/1,6941.77,6831.97,6949.45,6817.73,187.15,0.0125
2012/3/2,6921.37,6944.45,6954.89,6904.1,197.18,-0.0029
2012/3/5,6866.46,6876.89,6902.58,6815.47,169.82,-0.0079
2012/3/6,6633.11,6835.97,6840.33,6633.11,216.45,-0.034
2012/3/7,6671.11,6638.48,6682.68,6612.61,181.61,0.0057
2012/3/8,6834.54,6723.33,6838.39,6703.89,206.87,0.0245
2012/3/9,6880.21,6848.52,6912.42,6830.63,154.68,0.0067
2012/3/12,6901.35,6868.97,6911.27,6846.9,126.64,0.0031
2012/3/13,6995.91,6957.25,7020.04,6941.96,149.28,0.0137
2012/3/14,7079.42,7028.92,7099.34,7028.15,212.92,0.0119
2012/3/15,7144.45,7093.97,7153.11,7072.27,149.75,0.0092
2012/3/16,7157.82,7145.78,7194.33,7142.75,359.06,0.0019
2012/3/19,7154.22,7143.93,7154.83,7095.13,144.66,-0.0005
2012/3/20,7054.94,7121.92,7124.63,7032.07,151.23,-0.0139
2012/3/21,7071.32,7088.76,7114.01,7012.04,134.46,0.0023
2012/3/22,6981.26,7053.42,7071.09,6938.2,165.78,-0.0127
2012/3/23,6995.62,6986.9,7026.9,6908.97,133.08,0.0021
