date,close,open,high,low,vol,return
2010/1/4,2308.42 ,2294.41 ,2311.15 ,2294.41 ,537.7,0.0173 
2010/1/5,2308.71 ,2307.27 ,2313.73 ,2295.62 ,630.43,0.0001 
2010/1/6,2301.09 ,2307.71 ,2314.07 ,2295.68 ,609.15,-0.0033 
2010/1/7,2300.05 ,2298.09 ,2301.30 ,2285.22 ,623.54,-0.0005 
2010/1/8,2317.17 ,2292.24 ,2317.60 ,2290.61 ,580.24,0.0074 
2010/1/11,2312.41 ,2324.78 ,2326.28 ,2302.21 ,546.09,-0.0021 
2010/1/12,2282.31 ,2297.28 ,2298.85 ,2272.70 ,631.34,-0.0130 
2010/1/13,2307.90 ,2289.46 ,2313.03 ,2274.12 ,614.78,0.0112 
2010/1/14,2316.74 ,2303.31 ,2322.56 ,2303.29 ,617.56,0.0038 
2010/1/15,2287.99 ,2316.98 ,2322.54 ,2279.20 ,819.1,-0.0124 
2010/1/19,2320.40 ,2291.02 ,2320.40 ,2290.68 ,573.97,0.0142 
2010/1/20,2291.25 ,2304.31 ,2304.47 ,2268.68 ,657.47,-0.0126 
2010/1/21,2265.70 ,2298.23 ,2308.98 ,2259.82 ,790.77,-0.0112 
2010/1/22,2205.29 ,2255.76 ,2262.27 ,2200.37 ,797.19,-0.0267 
2010/1/25,2210.80 ,2220.29 ,2223.22 ,2201.17 ,597.78,0.0025 
2010/1/26,2203.73 ,2203.44 ,2227.89 ,2195.44 ,673.68,-0.0032 
2010/1/27,2221.41 ,2200.30 ,2225.67 ,2192.59 ,727.06,0.0080 
2010/1/28,2179.00 ,2220.31 ,2220.87 ,2166.90 ,829.36,-0.0191 
2010/1/29,2147.35 ,2198.26 ,2202.84 ,2140.34 ,918.05,-0.0145 
2010/2/1,2171.20 ,2155.81 ,2171.20 ,2152.26 ,631.69,0.0111 
2010/2/2,2190.06 ,2171.66 ,2193.66 ,2161.47 ,720.07,0.0087 
2010/2/3,2190.91 ,2181.01 ,2194.53 ,2176.75 ,676.19,0.0004 
2010/2/4,2125.43 ,2176.39 ,2178.25 ,2125.43 ,813.07,-0.0299 
2010/2/5,2141.12 ,2131.92 ,2142.27 ,2100.17 ,822.61,0.0074 
2010/2/8,2126.05 ,2140.10 ,2152.64 ,2125.11 ,606.27,-0.0070 
2010/2/9,2150.87 ,2153.10 ,2166.16 ,2132.58 ,662.58,0.0117 
2010/2/10,2147.87 ,2147.46 ,2156.36 ,2131.08 ,590.4,-0.0014 
2010/2/11,2177.41 ,2145.09 ,2179.54 ,2134.14 ,598.66,0.0138 
2010/2/12,2183.53 ,2157.69 ,2184.57 ,2151.99 ,696.17,0.0028 
2010/2/16,2214.19 ,2200.38 ,2214.19 ,2189.18 ,559.68,0.0140 
2010/2/17,2226.29 ,2222.87 ,2226.32 ,2212.78 ,547.43,0.0055 
2010/2/18,2241.71 ,2223.22 ,2243.50 ,2221.14 ,552.21,0.0069 
2010/2/19,2243.87 ,2233.33 ,2249.80 ,2228.93 ,625.3,0.0010 
2010/2/22,2242.03 ,2250.92 ,2251.68 ,2235.65 ,530.46,-0.0008 
2010/2/23,2213.44 ,2238.01 ,2239.80 ,2205.70 ,647.22,-0.0128 
2010/2/24,2235.90 ,2222.40 ,2241.69 ,2221.28 ,596.22,0.0101 
2010/2/25,2234.22 ,2208.62 ,2236.21 ,2198.73 ,622.71,-0.0008 
2010/2/26,2238.26 ,2234.44 ,2242.83 ,2222.23 ,685.21,0.0018 
2010/3/1,2273.57 ,2247.40 ,2274.02 ,2247.33 ,658.99,0.0158 
2010/3/2,2280.79 ,2279.07 ,2292.49 ,2275.35 ,761.75,0.0032 
2010/3/3,2280.68 ,2284.82 ,2293.32 ,2275.25 ,667.11,0.0000 
2010/3/4,2292.31 ,2282.57 ,2293.16 ,2273.63 ,575.82,0.0051 
2010/3/5,2326.35 ,2304.01 ,2327.03 ,2301.10 ,631.26,0.0148 
2010/3/8,2332.21 ,2326.25 ,2335.43 ,2326.11 ,574.7,0.0025 
2010/3/9,2340.68 ,2325.78 ,2353.07 ,2325.74 ,680.19,0.0036 
2010/3/10,2358.95 ,2340.95 ,2361.66 ,2340.69 ,667.97,0.0078 
2010/3/11,2368.46 ,2351.11 ,2368.46 ,2347.53 ,580.47,0.0040 
2010/3/12,2367.66 ,2376.07 ,2376.28 ,2358.08 ,547.56,-0.0003 
2010/3/15,2362.21 ,2361.92 ,2367.40 ,2345.99 ,529.84,-0.0023 
2010/3/16,2378.01 ,2367.32 ,2378.84 ,2360.67 ,574.65,0.0067 
2010/3/17,2389.09 ,2381.65 ,2400.09 ,2381.47 ,581.55,0.0047 
2010/3/18,2391.28 ,2387.54 ,2393.87 ,2383.26 ,544.11,0.0009 
2010/3/19,2374.41 ,2391.20 ,2396.92 ,2364.53 ,1090,-0.0071 
2010/3/22,2395.40 ,2360.35 ,2401.21 ,2358.00 ,603.43,0.0088 
2010/3/23,2415.24 ,2397.90 ,2416.51 ,2390.04 ,584.3,0.0083 
2010/3/24,2398.76 ,2406.72 ,2408.64 ,2396.92 ,588.06,-0.0068 
2010/3/25,2397.41 ,2415.24 ,2432.25 ,2397.36 ,661.03,-0.0006 
2010/3/26,2395.13 ,2406.73 ,2412.92 ,2384.69 ,588.65,-0.0010 
2010/3/29,2404.36 ,2403.77 ,2411.18 ,2398.40 ,491,0.0039 
2010/3/30,2410.69 ,2406.69 ,2417.36 ,2395.80 ,575.61,0.0026 
2010/3/31,2397.96 ,2402.98 ,2415.44 ,2395.34 ,681.27,-0.0053 
2010/4/1,2402.58 ,2411.68 ,2423.43 ,2383.77 ,581.66,0.0019 
